,product industry class,Change in percent from previous year
0,Oil And Gas,27.16%
1,Goods Returned Or Reimported,21.98%
2,Used Or Second-Hand Merchandise,4.83%
3,Livestock And Livestock Products,1.75%
4,Miscellaneous Manufactured Commodities,1.68%
5,Fabricated Metal Products,1.23%
6,"Special Classification Provision, Nspf",0.83%
7,Chemicals,0.81%
8,Apparel And Accessories,0.23%
9,Food And Kindred Products,0.08%
10,"Electrical Equipment, Appliances and Components",-0.48%
11,Re-exports,-1.03%
12,Transportation Equipment,-1.65%
13,"Printing, Publishing & Similar Products",-2.06%
14,Plastic And Rubber Products,-2.72%
15,Furniture and Fixtures,-2.86%
16,Computers and Electronic Products,-2.99%
17,Textile And Fabrics,-3.01%
18,Leather And Allied Products,-3.58%
19,Textile Mill Products,-4.05%
20,"Machinery, Except Electrical",-4.29%
21,"Agricultural Products, Total",-4.49%
22,Scrap & Waste,-4.89%
23,Nonmetallic Mineral Products,-5.44%
24,Beverages And Tobacco,-6.15%
25,"Fish, Fresh Or Chilled; And Other Marine Products",-6.42%
26,Paper Products,-7.08%
27,Petroleum And Coal Products,-7.91%
28,Minerals And Ores,-9.28%
29,Wood Products,-12.63%
30,Primary Metal Products,-13.06%
31,"Forestry Products, Nspf",-27.86%
