,Year,GDP per capita in U.S. dollars
0,2025*,22720.37
1,2024*,21285.25
2,2023*,19804.11
3,2022*,18253.59
4,2021*,16739.73
5,2020*,15303.54
6,2019,15600.66
7,2018,15460.78
8,2017,13871.57
9,2016,12427.71
10,2015,12566.09
11,2014,14342.83
12,2013,13777.3
13,2012,13158.07
14,2011,13886.83
15,2010,12601.92
16,2009,11541.35
17,2008,14004.76
18,2007,11264.72
19,2006,9035.26
20,2005,8019.77
21,2004,6684.46
22,2003,5691.34
23,2002,5195.28
24,2001,4978.05
25,2000,4476.25
26,1999,4339.6
27,1998,4450.33
28,1997,4067.96
29,1996,4058.18
30,1995,3605.16
31,1994,2687.41
32,1993,2347.12
33,1992,2311.09
34,1991,2101.35
35,1990,1625.84
36,1989,1768.61
37,1988,1815.82
38,1987,1687.8
39,1986,1961.68
40,1985,1896.08
