,Name (location),Generating capacity in gigawatts
0,"Three Gorges Dam (Yangtze River, China)",22.5
1,"Itaipu Dam (Paraná River, Brazil/Paraguay)",14.0
2,"Xiluodu (Jinsha River, China)",13.86
3,"Guri (Caroní River, Venezuela)",10.24
4,"Tucuruí (Tocantins River, Brazil)",8.37
5,"Grand Coulee (Columbia River, United States)",6.81
6,"Longtan Dam (Hongshui River, China)",6.43
7,"Xiangjiaba (Jinsha River, China)",6.4
8,"Krasnoyarsk (Yensei River, Russia)",6.0
9,"Robert-Bourassa (La Grande, Canada)",5.62
