,Year,Inflation rate compared to previous year
0,2025*,5%
1,2024*,5%
2,2023*,5%
3,2022*,5%
4,2021*,1%
5,2020*,6.9%
6,2019,2.43%
7,2018,1.36%
8,2017,4.84%
9,2016,5.72%
10,2015,2.51%
11,2014,1.78%
12,2013,4.22%
13,2012,6.29%
14,2011,5.67%
15,2010,2.31%
16,2009,10.35%
17,2008,15.44%
18,2007,9.08%
19,2006,8.83%
20,2005,9.12%
21,2004,11.98%
22,2003,7.45%
23,2002,1.98%
24,2001,3.36%
25,2000,3.91%
26,1999,-2.42%
27,1998,6.46%
28,1997,11.76%
29,1996,13.19%
30,1995,55.97%
31,1994,21%
32,1993,12.47%
33,1992,9.5%
34,1991,19.6%
35,1990,4.2%
36,1989,1.04%
37,1988,2.91%
38,1987,4.15%
39,1986,-1.1%
40,1985,1.73%
