,Quarter,Number of employees in 1000s
0,Q1 2020**,245.2
1,Q4 2019**,247.2
2,Q3 2019**,246.1
3,Q2 2019**,246.8
4,Q1 2019**,247.5
5,Q4 2018**,247.4
6,Q3 2018**,248.2
7,Q2 2018**,248.5
8,Q1 2018**,249.2
9,Q4 2017,249.4
10,Q3 2017,248.9
11,Q2 2017*,248.2
12,Q1 2017*,247.3
13,Q4 2016,245.2
14,Q3 2016,243.8
15,Q2 2016,242.9
16,Q1 2016,241.4
17,Q4 2015,239.8
18,Q3 2015,238.6
19,Q2 2015,237.4
20,Q1 2015,236.9
21,Q4 2014,236.5
22,Q3 2014,236.6
23,Q2 2014,237.1
24,Q1 2014,236.6
25,Q4 2013,237.3
26,Q3 2013,237.1
27,Q2 2013,236.7
28,Q1 2013,237.2
