,States,Number of fatalities
0,"San Francisco, California (April 18, 1906)",2000
1,"Aleutian Islands, Alaska* (April 1, 1946)",165
2,"Prince William Sound, Alaska** (March 28, 1964)",131
3,"Long Beach, California (March 11, 1933)",116
4,"Mona Passage (October 11, 1918)",116
5,"San Fernando, California (February 9, 1971)",65
6,"Santa Cruz County, California (October 18, 1989)",62
7,"Chile, South America*** (May 22, 1960)",61
8,"Northridge, California (January 17, 1994)",60
9,"Hebgen Lake, Montana (August 18, 1959)",28
