,Year,Gross domestic product in billion international dollars
0,2021*,117.08
1,2020*,110.4
2,2019*,112.0
3,2018,106.87
4,2017,100.61
5,2016,93.51
6,2015,88.19
7,2014,82.55
8,2013,77.14
9,2012,70.91
10,2011,63.38
11,2010,55.77
12,2009,52.1
13,2008,51.07
14,2007,45.6
15,2006,39.61
16,2005,35.42
17,2004,32.05
18,2003,29.03
19,2002,27.34
20,2001,26.33
21,2000,25.62
22,1999,24.39
23,1998,23.15
24,1997,21.32
25,1996,19.69
26,1995,18.01
27,1994,17.33
28,1993,16.5
29,1992,15.28
30,1991,13.81
31,1990,12.21
32,1989,10.89
33,1988,10.32
34,1987,11.5
35,1986,11.43
36,1985,10.82
37,1984,9.99
