,Response,Share of cases
0,0 - 4 years old,0.2%
1,5 - 9 years old,0.7%
2,10 - 14 years old,4%
3,15 - 19 years old,8.5%
4,20 - 24 years old,9.9%
5,25 - 29 years old,8.5%
6,30 - 34 years old,7.5%
7,35 - 39 years old,6.8%
8,40 - 44 years old,6.9%
9,45 - 59 years old,8.2%
10,50 - 54 years old,9.1%
11,55 - 59 years old,8%
12,60 - 64 years old,6%
13,65 - 69 years old,3.8%
14,70 - 74 years old,3.3%
15,75 - 79 years old,2.6%
16,80 - 84 years old,2.3%
17,85 - 89 years old,2%
18,90 - 94 years old,1.1%
19,95 years old and over,0.4%
