,Quarter,Revenue in million U.S. dollars
0,Q2 '20,18687
1,Q1 '20,17737
2,Q4 '19,21082
3,Q3 '19,17652
4,Q2 '19,16886
5,Q1 '19,15077
6,Q4 '18,16914
7,Q3 '18,13727
8,Q2 '18,13231
9,Q1 '18,11966
10,Q4 '17,12972
11,Q3 '17,10328
12,Q2 '17,9321
13,Q1 '17,8032
14,Q4 '16,8809
15,Q3 '16,7011
16,Q2 '16,6436
17,Q1 '16,5382
18,Q4 '15,5841
19,Q3 '15,4501
20,Q2 '15,4042
21,Q1 '15,3543
22,Q4 '14,3851
23,Q3 '14,3203
24,Q2 '14,2910
25,Q1 '14,2502
26,Q4 '13,2585
27,Q3 '13,2016
28,Q2 '13,1813
29,Q1 '13,1458
30,Q4 '12,1585
31,Q3 '12,1262
32,Q2 '12,1184
33,Q1 '12,1058
34,Q4 '11,1131
