,Month,Unemployment rate
0,Oct 20,4.9%
1,Sep 20,4.8%
2,Aug 20,4.5%
3,Jul 20,4.3%
4,Jun 20,4.1%
5,May 20,4.1%
6,Apr 20,4%
7,Mar 20,4%
8,Feb 20,4%
9,Jan 20,3.9%
10,Dec 19,3.8%
11,Nov 19,3.8%
12,Oct 19,3.8%
13,Sep 19,3.8%
14,Aug 19,3.9%
15,Jul 19,3.8%
16,Jun 19,3.9%
17,May 19,3.8%
18,Apr 19,3.8%
19,Mar 19,3.8%
20,Feb 19,3.9%
21,Jan 19,3.9%
22,Dec 18,4%
23,Nov 18,4%
24,Oct 18,4.1%
25,Sep 18,4.1%
26,Aug 18,4%
27,Jul 18,4%
28,Jun 18,4%
29,May 18,4.2%
30,Apr 18,4.2%
31,Mar 18,4.2%
32,Feb 18,4.2%
33,Jan 18,4.3%
34,Dec 17,4.4%
35,Nov 17,4.3%
36,Oct 17,4.2%
37,Sep 17,4.3%
38,Aug 17,4.3%
39,Jul 17,4.3%
40,Jun 17,4.4%
41,May 17,4.4%
42,Apr 17,4.5%
43,Mar 17,4.6%
44,Feb 17,4.6%
45,Jan 17,4.7%
46,Dec 16,4.7%
47,Nov 16,4.8%
48,Oct 16,4.8%
49,Sep 16,4.8%
50,Aug 16,5%
51,Jul 16,4.9%
52,Jun 16,4.9%
53,May 16,4.9%
54,Apr 16,5%
55,Mar 16,5.1%
56,Feb 16,5.1%
57,Jan 16,5.1%
58,Dec 15,5.1%
59,Nov 15,5.1%
60,Oct 15,5.2%
61,Sep 15,5.3%
62,Aug 15,5.4%
63,Jul 15,5.5%
64,Jun 15,5.6%
65,May 15,5.6%
66,Apr 15,5.5%
67,Mar 15,5.5%
68,Feb 15,5.6%
69,Jan 15,5.7%
70,Dec 14,5.7%
71,Nov 14,5.9%
72,Oct 14,6%
73,Sep 14,6%
74,Aug 14,6%
75,Jul 14,6.1%
76,Jun 14,6.3%
77,May 14,6.4%
78,Apr 14,6.6%
79,Mar 14,6.8%
80,Feb 14,6.9%
81,Jan 14,7.2%
82,Dec 13,7.2%
83,Nov 13,7.2%
84,Oct 13,7.4%
85,Sep 13,7.6%
86,Aug 13,7.7%
87,Jul 13,7.7%
88,Jun 13,7.7%
89,May 13,7.8%
90,Apr 13,7.8%
91,Mar 13,7.8%
92,Feb 13,8%
93,Jan 13,7.8%
94,Dec 12,7.8%
95,Nov 12,7.8%
96,Oct 12,7.9%
97,Sep 12,7.9%
98,Aug 12,7.9%
99,Jul 12,8%
100,Jun 12,8%
101,May 12,8.1%
102,Apr 12,8.2%
103,Mar 12,8.2%
104,Feb 12,8.3%
105,Jan 12,8.4%
106,Dec 11,8.4%
107,Nov 11,8.5%
108,Oct 11,8.4%
109,Sep 11,8.3%
110,Aug 11,8.2%
111,Jul 11,8%
112,Jun 11,7.9%
113,May 11,7.8%
114,Apr 11,7.7%
115,Mar 11,7.8%
116,Feb 11,7.8%
117,Jan 11,7.9%
118,Dec 10,7.9%
119,Nov 10,7.9%
120,Oct 10,7.9%
121,Sep 10,7.8%
122,Aug 10,7.8%
123,Jul 10,7.8%
124,Jun 10,7.9%
125,May 10,7.9%
126,Apr 10,8%
127,Mar 10,8%
128,Feb 10,7.9%
129,Jan 10,7.7%
130,Dec 09,7.8%
131,Nov 09,7.8%
132,Oct 09,7.9%
133,Sep 09,7.8%
134,Aug 09,7.9%
135,Jul 09,7.9%
136,Jun 09,7.8%
137,May 09,7.6%
138,Apr 09,7.3%
139,Mar 09,7.1%
140,Feb 09,6.7%
141,Jan 09,6.5%
142,Dec 08,6.4%
143,Nov 08,6.2%
144,Oct 08,6%
145,Sep 08,5.9%
146,Aug 08,5.7%
147,Jul 08,5.5%
148,Jun 08,5.4%
149,May 08,5.2%
150,Apr 08,5.3%
151,Mar 08,5.2%
152,Feb 08,5.2%
153,Jan 08,5.2%
154,Dec 07,5.2%
155,Nov 07,5.2%
156,Oct 07,5.2%
157,Sep 07,5.3%
158,Aug 07,5.3%
159,Jul 07,5.3%
160,Jun 07,5.4%
161,May 07,5.4%
162,Apr 07,5.5%
163,Mar 07,5.5%
164,Feb 07,5.5%
165,Jan 07,5.5%
166,Dec 06,5.5%
167,Nov 06,5.4%
168,Oct 06,5.5%
169,Sep 06,5.5%
170,Aug 06,5.5%
171,Jul 06,5.5%
172,Jun 06,5.5%
173,May 06,5.4%
174,Apr 06,5.3%
175,Mar 06,5.2%
176,Feb 06,5.2%
177,Jan 06,5.1%
178,Dec 05,5.1%
179,Nov 05,5.1%
180,Oct 05,4.9%
181,Sep 05,4.7%
182,Aug 05,4.7%
183,Jul 05,4.7%
184,Jun 05,4.8%
185,May 05,4.8%
186,Apr 05,4.7%
187,Mar 05,4.7%
188,Feb 05,4.8%
189,Jan 05,4.7%
190,Dec 04,4.7%
191,Nov 04,4.7%
192,Oct 04,4.7%
193,Sep 04,4.7%
194,Aug 04,4.7%
195,Jul 04,4.8%
196,Jun 04,4.8%
197,May 04,4.8%
198,Apr 04,4.8%
199,Mar 04,4.8%
200,Feb 04,4.8%
201,Jan 04,4.8%
202,Dec 03,4.9%
203,Nov 03,4.9%
204,Oct 03,5%
205,Sep 03,5%
206,Aug 03,5.1%
207,Jul 03,5.1%
208,Jun 03,4.9%
209,May 03,5%
210,Apr 03,5.1%
211,Mar 03,5.2%
212,Feb 03,5.1%
213,Jan 03,5%
214,Dec 02,5.1%
215,Nov 02,5.2%
216,Oct 02,5.2%
217,Sep 02,5.3%
218,Aug 02,5.2%
219,Jul 02,5.2%
220,Jun 02,5.2%
221,May 02,5.2%
222,Apr 02,5.2%
223,Mar 02,5.2%
224,Feb 02,5.1%
225,Jan 02,5.2%
226,Dec 01,5.2%
227,Nov 01,5.1%
228,Oct 01,5.1%
229,Sep 01,5.1%
230,Aug 01,5.1%
231,Jul 01,5%
232,Jun 01,5%
233,May 01,4.9%
234,Apr 01,5%
235,Mar 01,5.1%
236,Feb 01,5.2%
237,Jan 01,5.2%
238,Dec 00,5.2%
239,Nov 00,5.3%
240,Oct 00,5.4%
241,Sep 00,5.3%
242,Aug 00,5.3%
243,Jul 00,5.3%
244,Jun 00,5.5%
245,May 00,5.6%
246,Apr 00,5.7%
247,Mar 00,5.8%
248,Feb 00,5.8%
249,Jan 00,5.9%
250,Dec 99,5.8%
251,Nov 99,5.8%
252,Oct 99,5.8%
253,Sep 99,5.9%
254,Aug 99,5.9%
255,Jul 99,6%
256,Jun 99,6%
257,May 99,6.1%
258,Apr 99,6.2%
259,Mar 99,6.2%
260,Feb 99,6.2%
261,Jan 99,6.2%
262,Dec 98,6.1%
263,Nov 98,6.2%
264,Oct 98,6.2%
265,Sep 98,6.2%
266,Aug 98,6.3%
267,Jul 98,6.3%
268,Jun 98,6.3%
269,May 98,6.3%
270,Apr 98,6.3%
271,Mar 98,6.4%
272,Feb 98,6.4%
273,Jan 98,6.4%
274,Dec 97,6.5%
275,Nov 97,6.6%
276,Oct 97,6.7%
277,Sep 97,6.8%
278,Aug 97,7.1%
279,Jul 97,7.3%
280,Jun 97,7.2%
281,May 97,7.2%
282,Apr 97,7.2%
283,Mar 97,7.3%
284,Feb 97,7.5%
285,Jan 97,7.7%
286,Dec 96,7.8%
287,Nov 96,8%
288,Oct 96,8.1%
289,Sep 96,8.1%
290,Aug 96,8.1%
291,Jul 96,8.2%
292,Jun 96,8.3%
293,May 96,8.3%
294,Apr 96,8.3%
295,Mar 96,8.2%
296,Feb 96,8.3%
297,Jan 96,8.4%
298,Dec 95,8.3%
299,Nov 95,8.6%
300,Oct 95,8.6%
301,Sep 95,8.6%
302,Aug 95,8.6%
303,Jul 95,8.7%
304,Jun 95,8.7%
305,May 95,8.8%
306,Apr 95,8.8%
307,Mar 95,8.9%
308,Feb 95,8.9%
309,Jan 95,8.9%
310,Dec 94,9%
311,Nov 94,9.1%
312,Oct 94,9.3%
313,Sep 94,9.4%
314,Aug 94,9.5%
315,Jul 94,9.6%
316,Jun 94,9.7%
317,May 94,9.7%
318,Apr 94,9.8%
319,Mar 94,9.9%
320,Feb 94,10.1%
321,Jan 94,10.3%
322,Dec 93,10.3%
323,Nov 93,10.2%
324,Oct 93,10.3%
325,Sep 93,10.2%
326,Aug 93,10.3%
327,Jul 93,10.4%
328,Jun 93,10.4%
329,May 93,10.5%
330,Apr 93,10.6%
331,Mar 93,10.6%
332,Feb 93,10.7%
333,Jan 93,10.5%
334,Dec 92,10.4%
335,Nov 92,10.2%
336,Oct 92,10.1%
337,Sep 92,9.9%
338,Aug 92,9.9%
339,Jul 92,9.9%
340,Jun 92,9.8%
341,May 92,9.8%
342,Apr 92,9.8%
343,Mar 92,9.7%
344,Feb 92,9.6%
345,Jan 92,9.5%
346,Dec 91,9.5%
347,Nov 91,9.4%
348,Oct 91,9.3%
349,Sep 91,9.2%
350,Aug 91,9%
351,Jul 91,8.8%
352,Jun 91,8.7%
353,May 91,8.5%
354,Apr 91,8.2%
355,Mar 91,8%
356,Feb 91,7.8%
357,Jan 91,7.6%
358,Dec 90,7.5%
359,Nov 90,7.3%
360,Oct 90,7.2%
361,Sep 90,7.1%
362,Aug 90,7%
363,Jul 90,6.9%
364,Jun 90,6.9%
365,May 90,6.9%
366,Apr 90,6.9%
367,Mar 90,6.9%
368,Feb 90,6.9%
369,Jan 90,7%
370,Dec 89,7%
371,Nov 89,7%
372,Oct 89,7.1%
373,Sep 89,7.1%
374,Aug 89,7.1%
375,Jul 89,7.2%
376,Jun 89,7.2%
377,May 89,7.3%
378,Apr 89,7.4%
379,Mar 89,7.6%
380,Feb 89,7.7%
381,Jan 89,7.9%
382,Dec 88,8%
383,Nov 88,8.2%
384,Oct 88,8.3%
385,Sep 88,8.4%
386,Aug 88,8.5%
387,Jul 88,8.6%
388,Jun 88,8.7%
389,May 88,8.9%
390,Apr 88,9%
391,Mar 88,9.2%
392,Feb 88,9.4%
393,Jan 88,9.5%
394,Dec 87,9.7%
395,Nov 87,9.9%
396,Oct 87,10%
397,Sep 87,10.2%
398,Aug 87,10.4%
399,Jul 87,10.6%
400,Jun 87,10.7%
401,May 87,10.9%
402,Apr 87,11%
403,Mar 87,11.1%
404,Feb 87,11.2%
405,Jan 87,11.2%
406,Dec 86,11.3%
407,Nov 86,11.3%
408,Oct 86,11.3%
409,Sep 86,11.4%
410,Aug 86,11.4%
411,Jul 86,11.4%
412,Jun 86,11.3%
413,May 86,11.3%
414,Apr 86,11.3%
415,Mar 86,11.3%
416,Feb 86,11.3%
417,Jan 86,11.3%
418,Dec 85,11.3%
419,Nov 85,11.3%
420,Oct 85,11.3%
421,Sep 85,11.3%
422,Aug 85,11.3%
423,Jul 85,11.3%
424,Jun 85,11.4%
425,May 85,11.4%
426,Apr 85,11.4%
427,Mar 85,11.5%
428,Feb 85,11.5%
429,Jan 85,11.6%
430,Dec 84,11.6%
431,Nov 84,11.7%
432,Oct 84,11.7%
433,Sep 84,11.7%
434,Aug 84,11.8%
435,Jul 84,11.8%
436,Jun 84,11.9%
437,May 84,11.9%
438,Apr 84,11.9%
439,Mar 84,11.8%
440,Feb 84,11.8%
441,Jan 84,11.7%
442,Dec 83,11.7%
443,Nov 83,11.6%
444,Oct 83,11.6%
445,Sep 83,11.5%
446,Aug 83,11.5%
447,Jul 83,11.5%
448,Jun 83,11.4%
449,May 83,11.3%
450,Apr 83,11.3%
451,Mar 83,11.3%
452,Feb 83,11.2%
453,Jan 83,11.2%
454,Dec 82,11.1%
455,Nov 82,11%
456,Oct 82,10.9%
457,Sep 82,10.8%
458,Aug 82,10.7%
459,Jul 82,10.6%
460,Jun 82,10.6%
461,May 82,10.5%
462,Apr 82,10.5%
463,Mar 82,10.4%
464,Feb 82,10.4%
465,Jan 82,10.3%
466,Dec 81,10.2%
467,Nov 81,10.1%
468,Oct 81,10%
469,Sep 81,9.9%
470,Aug 81,9.8%
471,Jul 81,9.7%
472,Jun 81,9.6%
473,May 81,9.4%
474,Apr 81,9.1%
475,Mar 81,8.9%
476,Feb 81,8.6%
477,Jan 81,8.3%
478,Dec 80,8%
479,Nov 80,7.7%
480,Oct 80,7.4%
481,Sep 80,7.1%
482,Aug 80,6.8%
483,Jul 80,6.5%
484,Jun 80,6.3%
485,May 80,6.1%
486,Apr 80,6%
487,Mar 80,5.8%
488,Feb 80,5.7%
489,Jan 80,5.6%
490,Dec 79,5.5%
491,Nov 79,5.4%
492,Oct 79,5.4%
493,Sep 79,5.4%
494,Aug 79,5.3%
495,Jul 79,5.3%
496,Jun 79,5.3%
497,May 79,5.3%
498,Apr 79,5.3%
499,Mar 79,5.4%
500,Feb 79,5.3%
501,Jan 79,5.3%
502,Dec 78,5.4%
503,Nov 78,5.4%
504,Oct 78,5.5%
505,Sep 78,5.5%
506,Aug 78,5.5%
507,Jul 78,5.5%
508,Jun 78,5.6%
509,May 78,5.6%
510,Apr 78,5.6%
511,Mar 78,5.6%
512,Feb 78,5.6%
513,Jan 78,5.7%
514,Dec 77,5.7%
515,Nov 77,5.7%
516,Oct 77,5.7%
517,Sep 77,5.7%
518,Aug 77,5.6%
519,Jul 77,5.6%
520,Jun 77,5.5%
521,May 77,5.5%
522,Apr 77,5.5%
523,Mar 77,5.5%
524,Feb 77,5.5%
525,Jan 77,5.5%
526,Dec 76,5.5%
527,Nov 76,5.5%
528,Oct 76,5.5%
529,Sep 76,5.5%
530,Aug 76,5.4%
531,Jul 76,5.4%
532,Jun 76,5.4%
533,May 76,5.4%
534,Apr 76,5.3%
535,Mar 76,5.3%
536,Feb 76,5.2%
537,Jan 76,5.1%
538,Dec 75,5%
539,Nov 75,4.9%
540,Oct 75,4.8%
541,Sep 75,4.7%
542,Aug 75,4.6%
543,Jul 75,4.5%
544,Jun 75,4.3%
545,May 75,4.2%
546,Apr 75,4.1%
547,Mar 75,4%
548,Feb 75,3.9%
549,Jan 75,3.8%
550,Dec 74,3.7%
551,Nov 74,3.7%
552,Oct 74,3.7%
553,Sep 74,3.7%
554,Aug 74,3.7%
555,Jul 74,3.6%
556,Jun 74,3.6%
557,May 74,3.6%
558,Apr 74,3.6%
559,Mar 74,3.6%
560,Feb 74,3.5%
561,Jan 74,3.4%
562,Dec 73,3.4%
563,Nov 73,3.5%
564,Oct 73,3.5%
565,Sep 73,3.6%
566,Aug 73,3.6%
567,Jul 73,3.7%
568,Jun 73,3.7%
569,May 73,3.8%
570,Apr 73,3.8%
571,Mar 73,3.9%
572,Feb 73,4%
573,Jan 73,4.1%
574,Dec 72,4.2%
575,Nov 72,4.2%
576,Oct 72,4.2%
577,Sep 72,4.3%
578,Aug 72,4.3%
579,Jul 72,4.4%
580,Jun 72,4.4%
581,May 72,4.5%
582,Apr 72,4.5%
583,Mar 72,4.5%
584,Feb 72,4.5%
585,Jan 72,4.5%
586,Dec 71,4.4%
587,Nov 71,4.4%
588,Oct 71,4.3%
589,Sep 71,4.2%
590,Aug 71,4.2%
591,Jul 71,4.1%
592,Jun 71,4.1%
593,May 71,4%
594,Apr 71,3.9%
595,Mar 71,3.8%
