,Month,Price in GBP per kilogram
0,Nov '19,0.7
1,Oct '19,0.85
2,Sep '19,1.34
3,Aug '19,1.22
4,Jul '19,1.1
5,Jun '19,0.97
6,May '19,0.88
7,Apr '19,1.23
8,Dec '18,0.93
9,Nov '18,0.72
10,Oct '18,1.11
11,Sep '18,1.51
12,Aug '18,0.75
13,Jul '18,0.85
14,Jun '18,0.82
15,May '18,1.11
16,Apr '18,1.18
17,Dec '17,0.69
18,Nov '17,0.88
19,Oct '17,1.23
20,Sep '17,1.05
21,Aug '17,0.8
22,Jul '17,0.93
23,Jun '17,0.88
24,May '17,0.99
25,Apr '17,1.55
26,Mar '17,2.51
27,Dec '16,1.0
28,Nov '16,0.71
29,Oct '16,0.87
30,Sep '16,0.93
31,Aug '16,0.91
32,Jul '16,0.8
33,Jun '16,0.78
34,May '16,0.83
35,Apr '16,1.27
36,Mar '16,2.33
37,Nov '15,0.77
38,Oct '15,1.1
39,Sep '15,1.09
40,Aug '15,0.7
41,Jul '15,0.69
42,Jun '15,0.75
43,May '15,0.88
44,Apr '15,1.13
45,Mar '15,1.1
