,Year,GDP per capita in U.S. dollars
0,2024*,3768.01
1,2023*,4047.72
2,2022*,4055.39
3,2021*,4032.71
4,2020*,4039.1
5,2019*,3980.12
6,2018*,4080.91
7,2017,4012.13
8,2016,3918.94
9,2015,4153.32
10,2014,5466.33
11,2013,5477.06
12,2012,5574.51
13,2011,5453.89
14,2010,4480.72
15,2009,3886.06
16,2008,4943.5
17,2007,3986.56
18,2006,3508.96
19,2005,3141.03
20,2004,2636.31
21,2003,2128.39
22,2002,1806.86
23,2001,1768.58
24,2000,1794.7
25,1999,1630.07
26,1998,1633.09
27,1997,1658.73
28,1996,1643.27
29,1995,1499.14
30,1994,1542.97
31,1993,1894.95
32,1992,1873.42
33,1991,1819.98
34,1990,2473.51
35,1989,2127.87
36,1988,2143.74
37,1987,2705.11
38,1986,2698.92
39,1985,2753.7
40,1984,2432.72
