,Year,Expenses in million U.S. dollars
0,2020 Q3,4.9
1,2020 Q2,4.83
2,2020 Q1,5.26
3,2019 Q4,4.43
4,2019 Q3,4.77
5,2019 Q2,4.11
6,2019 Q1,3.4
7,2018 Q4,2.83
8,2018 Q3,2.82
9,2018 Q2,3.67
10,2018 Q1,3.3
11,2017 Q4,3.07
12,2017 Q3,2.85
13,2017 Q2,2.38
14,2017 Q1,3.21
15,2016 Q4,1.7
16,2016 Q3,2.02
17,2016 Q2,2.19
18,2016 Q1,2.78
19,2015 Q4,2.13
20,2015 Q3,2.59
21,2015 Q2,2.69
22,2015 Q1,2.44
23,2014 Q4,1.99
24,2014 Q3,2.45
25,2014 Q2,2.12
26,2014 Q1,2.78
27,2013 Q4,1.48
28,2013 Q3,1.44
29,2013 Q2,1.06
30,2013 Q1,2.45
31,2012 Q4,1.4
32,2012 Q3,0.84
33,2012 Q2,0.96
34,2012 Q1,0.65
35,2011 Q4,0.44
36,2011 Q3,0.36
37,2011 Q2,0.32
38,2011 Q1,0.23
