,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2%
3,2022*,2%
4,2021*,1.87%
5,2020*,1.81%
6,2019,2.14%
7,2018,1.32%
8,2017,2.8%
9,2016,3.59%
10,2015,3.55%
11,2014,3.25%
12,2013,2.81%
13,2012,3.66%
14,2011,3.37%
15,2010,1.53%
16,2009,2.94%
17,2008,5.79%
18,2007,1.78%
19,2006,2%
20,2005,1.62%
21,2004,3.66%
22,2003,2.26%
23,2002,0.19%
24,2001,1.98%
25,2000,3.76%
26,1999,3.47%
27,1998,7.26%
28,1997,8.55%
29,1996,11.55%
30,1995,11.13%
31,1994,23.74%
32,1993,48.58%
33,1992,73.53%
34,1991,409.53%
35,1990,"7,481.69%"
36,1989,"3,398.27%"
37,1988,666.96%
38,1987,85.85%
39,1986,77.92%
40,1985,163.4%
