,metropolitan area,Percentage uninsured
0,"McAllen-Edinburg-Mission, TX Metro Area",30.6%
1,"Laredo, TX Metro Area",29.2%
2,"Brownsville-Harlingen, TX Metro Area",29.1%
3,"El Paso, TX Metro Area",22.1%
4,"Longview, TX Metro Area",20%
5,"Odessa, TX Metro Area",19.7%
6,"Sherman-Denison, TX Metro Area",19.7%
7,"Valdosta, GA Metro Area",19.2%
8,"Tyler, TX Metro Area",18.9%
9,"Beaumont-Port Arthur, TX Metro Area",18.7%
10,"Houston-The Woodlands-Sugar Land, TX Metro Area",18.6%
11,"Corpus Christi, TX Metro Area",17.9%
12,"Dallas-Fort Worth-Arlington, TX Metro Area",17.1%
13,"Albany, GA Metro Area",16.6%
14,"Gainesville, GA Metro Area",16.4%
15,"Naples-Immokalee-Marco Island, FL Metro Area",16.2%
16,"Enid, OK Metro Area",16.1%
17,"Dalton, GA Metro Area",16.1%
18,"Abilene, TX Metro Area",15.9%
19,"Elkhart-Goshen, IN Metro Area",15.7%
20,"Amarillo, TX Metro Area",15.6%
21,"San Antonio-New Braunfels, TX Metro Area",15.5%
22,"Yakima, WA Metro Area",15.4%
23,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",15.2%
24,"Waco, TX Metro Area",15%
