,Year,Inflation rate compared to previous year
0,2025*,5.3%
1,2024*,5.3%
2,2023*,5.6%
3,2022*,5.8%
4,2021*,6%
5,2020*,6.38%
6,2019,4.64%
7,2018,4.15%
8,2017,4.45%
9,2016,9.93%
10,2015,7.21%
11,2014,9.04%
12,2013,9.87%
13,2012,8.31%
14,2011,9.57%
15,2010,9.57%
16,2009,12.62%
17,2008,6.68%
18,2007,6.2%
19,2006,7.96%
20,2005,4.54%
21,2004,3.96%
22,2003,4.74%
23,2002,2.9%
24,2001,2.44%
25,2000,3.39%
26,1999,11.38%
27,1998,8.33%
28,1997,8.1%
29,1996,7.18%
30,1995,7.68%
31,1994,8.95%
32,1993,8.87%
33,1992,21.06%
34,1991,7.94%
35,1990,8.93%
36,1989,8.08%
37,1988,11.02%
38,1987,13.29%
39,1986,15.85%
40,1985,4.13%
