,Organization,Number of inhabitants
0,The Evangelical Lutheran Church of Iceland,231112
1,The Roman Catholic Church,14632
2,The Independent Congregation of Reykjavík,10003
3,The Independent Congregation of Hafnarfjörður,7216
4,Pagan Worship,4764
5,The Icelandic Ethical Humanist Association,3507
6,The Independent Congregation,3241
7,The Pentecostal Church of Iceland,2099
8,Zuism,1213
9,The Icelandic Buddhist Society,1115
10,The Russian Orthodox Church,742
11,The Seventh Day Adventist Church,628
12,The Icelandic Muslim Association,623
13,Jehova Witnesses,608
14,"The Christian Way, a Church for You",498
