,Year,Inflation rate compared to previous year
0,2025*,4.04%
1,2024*,3.94%
2,2023*,3.87%
3,2022*,3.83%
4,2021*,3.75%
5,2020*,4.95%
6,2019,4.76%
7,2018,3.43%
8,2017,3.6%
9,2016,4.5%
10,2015,4.9%
11,2014,5.8%
12,2013,9.4%
13,2012,10%
14,2011,9.5%
15,2010,10.53%
16,2009,12.31%
17,2008,9.09%
18,2007,6.2%
19,2006,6.7%
20,2005,4.4%
21,2004,3.82%
22,2003,3.86%
23,2002,3.98%
24,2001,4.31%
25,2000,3.83%
26,1999,5.7%
27,1998,13.13%
28,1997,6.84%
29,1996,9.43%
30,1995,9.96%
31,1994,10.28%
32,1993,7.28%
33,1992,9.86%
34,1991,13.48%
35,1990,11.2%
36,1989,4.57%
37,1988,7.21%
38,1987,9.06%
39,1986,8.89%
40,1985,6.25%
