,Month,Cumulative number of samples tested
0,Apr 29,24952
1,Apr 28,23980
2,Apr 27,23271
3,Apr 26,22954
4,Apr 25,22360
5,Apr 24,21941
6,Apr 23,21334
7,Apr 22,20821
8,Apr 21,20252
9,Apr 20,19756
10,Apr 19,19351
11,Apr 18,18774
12,Apr 17,18029
13,Apr 16,17400
14,Apr 15,16745
15,Apr 14,16235
16,Apr 13,15683
17,Apr 12,14989
18,Apr 11,14163
19,Apr 10,13339
20,Apr 9,12710
21,Apr 8,11986
22,Apr 7,11232
23,Apr 6,10716
24,Apr 5,10221
25,Apr 4,9744
26,Apr 3,9139
27,Apr 2,8456
28,Apr 1,7965
29,Mar 31,7485
30,Mar 30,6691
31,Mar 29,6690
32,Mar 28,6067
33,Mar 27,5679
34,Mar 26,5342
35,Mar 25,4902
36,Mar 24,4516
37,Mar 23,4291
38,Mar 22,4035
39,Mar 21,3716
40,Mar 20,3436
41,Mar 19,2921
42,Mar 18,2550
43,Mar 17,2467
44,Mar 16,2297
45,Mar 15,2147
46,Mar 14,1897
47,Mar 13,1715
48,Mar 12,1377
49,Mar 11,1179
50,Mar 10,980
51,Mar 9,807
52,Mar 8,729
53,Mar 7,682
54,Mar 6,631
55,Mar 5,574
56,Mar 4,552
57,Mar 3,520
58,Mar 2,504
59,Mar 1,488
60,Feb 29,485
61,Feb 28,471
62,Feb 27,462
63,Feb 26,460
64,Feb 25,451
65,Feb 24,449
66,Feb 23,444
67,Feb 22,441
68,Feb 21,437
69,Feb 20,433
70,Feb 19,432
71,Feb 18,425
72,Feb 17,423
73,Feb 16,418
74,Feb 15,415
75,Feb 14,408
76,Feb 13,402
77,Feb 12,389
78,Feb 11,380
79,Feb 10,364
80,Feb 9,345
81,Feb 8,330
82,Feb 7,285
83,Feb 6,263
84,Feb 5,223
85,Feb 4,190
86,Feb 3,140
87,Feb 2,104
88,Feb 1,39
