,rider,Number of Tour participations
0,George Hincapie (US)*,17
1,Jens Voigt (Germany),17
2,Stuart O'Grady (Australia),17
3,Sylvain Chavanel (France),17
4,Haimar Zubeldia (Spain),16
5,Joop Zoetemelk (The Netherlands),16
6,Vjatceslav Ekimov (Russia),15
7,Thomas Voeckler (France),15
8,Guy Nulens (Belgium),15
9,Lucien Van Impe (Belgium),15
10,Christophe Moreau (France),15
11,André Darrigade (France),14
12,Erik Zabel (Germany),14
13,Lance Armstrong (US)**,14
14,Jérome Pineau (France),14
15,Sean Kelly (Ireland),14
16,Raymond Poulidor (France),14
17,Joachim Agostinho (Portugal),13
18,Jean-Pierre Genet (France),13
19,François Mahé (France),13
20,Jean Dotto (France),13
21,Marc Wauters (Belgium),13
22,Didier Rous (France),13
23,Gerrie Knetemann (The Netherlands),13
24,Phil Anderson (Australia),13
25,Henk Lubberding (The Netherlands),13
26,G. Duclos-Lassalle (France),13
