,Country,Number of casualties
0,Pakistan,1370
1,Yemen,175
2,Uzbekistan,138
3,“Pashtun”,136
4,“Arab”,119
5,Afghanistan,90
6,“Foreign”,86
7,“Central Asia”,73
8,Egypt,29
9,Saudi Arabia,28
10,US,10
11,Libya,8
12,UK,8
13,Germany,7
14,Turkey,6
15,Kuwait,6
16,Iraq,6
17,Somalia,6
18,Kenya,5
19,“Western”,4
20,China,4
21,Jordan,4
22,Syria,4
23,“Africa”,3
24,Tajikistan,3
25,Algeria,3
26,Australia,3
27,Spain,2
28,Iran,2
29,Canada,2
30,Morocco,2
31,Tunisia,1
32,Sudan,1
33,Belgium or Swiss,1
34,Palestine,1
35,Lebanon,1
36,Russia (Chechen),1
37,Bahrain,1
38,Italy,1
39,Unknown,537
