,Country,Index value
0,Chad,44.7
1,Timor-Leste,37.6
2,Madagascar,36.0
3,Haiti,33.5
4,Mozambique,33.1
5,Liberia,31.4
6,Sierra Leone,30.9
7,Lesotho,30.7
8,Afghanistan,30.3
9,Nigeria,29.2
10,Rwanda,28.3
11,Korea  (DPR),27.5
12,Sudan,27.2
13,India,27.2
14,Angola,26.8
15,Ethiopia,26.2
16,"Congo, Rep.",26.0
17,Burkina Faso,25.8
18,Tanzania,25.0
19,Pakistan,24.6
20,Côte d’Ivoire,24.5
21,Togo,24.1
22,Mauritania,24.0
23,Kenya,23.7
24,Venezuela,23.5
25,Mali,22.9
26,Malawi,22.6
27,Botswana,22.6
28,Benin,22.4
29,Myanmar,20.9
