,Occupation,Unemployment rate
0,"Farming, fishing, and forestry occupations",10.4%
1,Service occupations,9.8%
2,Transportation and material moving occupations,9.3%
3,Construction and extraction occupations,8%
4,Production occupations,6.7%
5,"Total, 16 years and over",6.4%
6,Sales and related occupations,6.3%
7,Office and administrative support occupations,5.8%
8,"Installation, maintenance, and repair occupations",5.6%
9,"Management, business, and financial operations occupations",3.9%
10,Professional and related occupations,3.5%
