,Month,Index value
0,Jun 20,236.5
1,May 20,220.7
2,Apr 20,180.6
3,Mar 20,152.6
4,Feb 20,133.1
5,Jan 20,138.9
6,Dec 19,208.9
7,Nov 19,181.7
8,Oct 19,146.1
9,Sep 19,133.1
10,Aug 19,134.0
11,Jul 19,142.7
12,Jun 19,136.1
13,May 19,138.8
14,Apr 19,135.8
15,Mar 19,135.5
16,Feb 19,125.2
17,Jan 19,128.8
18,Dec 18,187.0
19,Nov 18,182.9
20,Oct 18,134.2
21,Sep 18,122.8
22,Aug 18,120.1
23,Jul 18,125.5
24,Jun 18,125.7
25,May 18,127.3
26,Apr 18,118.7
27,Mar 18,118.4
28,Feb 18,110.2
29,Jan 18,113.5
30,Dec 17,165.3
31,Nov 17,162.0
32,Oct 17,118.8
33,Sep 17,109.9
34,Aug 17,105.4
35,Jul 17,108.2
36,Jun 17,108.7
37,May 17,105.1
38,Apr 17,105.0
39,Mar 17,101.6
40,Feb 17,95.6
41,Jan 17,100.0
42,Dec 16,151.6
43,Nov 16,147.1
44,Oct 16,108.5
45,Sep 16,96.7
46,Aug 16,88.6
