,Month,Units sold
0,Jul '20,2258
1,Jul '19,1530
2,Jan '19,948
3,Dec '18,855
4,Nov '18,844
5,Oct '18,1262
6,Sep '18,2228
7,Aug '18,960
8,Jul '18,1378
9,Jun '18,2301
10,May '18,1989
11,Apr '18,1410
12,Mar '18,3267
13,Feb '18,561
14,Jan '18,801
15,Dec '17,830
16,Nov '17,1046
17,Oct '17,1153
18,Sep '17,2624
19,Aug '17,1003
20,Jul '17,1456
21,Jun '17,2298
22,May '17,1880
23,Apr '17,1748
24,Mar '17,3169
25,Feb '17,482
26,Jan '17,692
27,Dec '16,1236
28,Nov '16,981
29,Oct '16,1005
30,Sep '16,2412
31,Aug '16,811
32,Jul '16,1405
