,Year,Gross domestic product in billion international dollars
0,2021*,21665.9
1,2020*,20289.99
2,2019,21427.68
3,2018,20580.25
4,2017,19519.4
5,2016,18715.05
6,2015,18224.78
7,2014,17527.28
8,2013,16784.83
9,2012,16197.05
10,2011,15542.6
11,2010,14992.05
12,2009,14448.93
13,2008,14712.83
14,2007,14451.88
15,2006,13814.6
16,2005,13036.63
17,2004,12213.73
18,2003,11458.25
19,2002,10936.45
20,2001,10581.83
21,2000,10252.35
22,1999,9630.7
23,1998,9062.83
24,1997,8577.55
25,1996,8073.13
26,1995,7639.75
27,1994,7287.25
28,1993,6858.55
29,1992,6520.33
30,1991,6158.13
31,1990,5963.13
32,1989,5641.6
33,1988,5236.43
34,1987,4855.25
35,1986,4579.63
36,1985,4339.0
37,1984,4037.65
