,Response,Share of male web traffic
0,newarena.com,98%
1,covers.com,97.7%
2,90min.com,97%
3,serverfault.com,96.7%
4,scoresandodds.com,96.6%
5,rotoworld.com,96.6%
6,golfwrx.com,96.4%
7,finviz.com,95.9%
8,bringatrailer.com,95.8%
9,hearthstonetopdecks.com,95.7%
10,stocktwits.com,95.2%
11,mmafighting.com,95%
12,kitco.com,94.5%
13,stockcharts.com,94.4%
14,basketball-reference.com,94.3%
15,dilbert.com,94.3%
16,stockhouse.com,94.2%
17,barchart.com,94.2%
18,teamliquid.net,94.1%
19,bleedinggreennation.com,94%
20,baseball-reference.com,93.9%
21,elevenwarriors.com,93.7%
22,comicbookmovie.com,93.6%
23,cagesideseats.com,93.5%
24,gamebanana.com,93.5%
