,Month,Price in U.S. dollars
0,"06 Jan, 2021",1123.16
1,"05 Jan, 2021",1017.86
2,"04 Jan, 2021",976.89
3,"03 Jan, 2021",771.48
4,"02 Jan, 2021",730.04
5,"01 Jan, 2021",741.12
6,Dec 2020,746.06
7,Nov 2020,567.68
8,Oct 2020,383.68
9,Sep 2020,357.33
10,Aug 2020,423.08
11,Jul 2020,336.21
12,Jun 2020,228.33
13,May 2020,243.63
14,Apr 2020,215.2
15,Mar 2020,133.76
16,Feb 2020,229.79
17,Jan 2020,186.26
18,Dec 2019,132.07
19,Nov 2019,153.67
20,Oct 2019,183.37
21,Sep 2019,171.01
22,Aug 2019,168.69
23,Jul 2019,210.08
24,Jun 2019,314.05
25,May 2019,253.27
26,Apr 2019,153.68
27,Mar 2019,141.94
28,Feb 2019,131.67
29,Jan 2019,107.57
30,Dec 2018,131.37
31,Nov 2018,111.49
32,Oct 2018,195.66
33,Sep 2018,231.31
34,Aug 2018,283.75
35,Jul 2018,455.52
36,Jun 2018,429.17
37,May 2018,562.18
38,Apr 2018,687.26
39,Mar 2018,411.02
40,Feb 2018,888.4
41,Jan 2018,1066.72
42,Dec 2017,719.83
43,Nov 2017,461.17
44,Oct 2017,308.99
45,Sep 2017,295.75
46,Aug 2017,380.71
47,Jul 2017,194.97
48,Jun 2017,288.28
49,May 2017,216.58
50,Apr 2017,75.04
51,Mar 2017,49.75
52,Feb 2017,15.86
53,Jan 2017,10.51
54,Dec 2016,8.01
55,Nov 2016,8.26
56,Oct 2016,11.44
57,Sep 2016,13.04
58,Aug 2016,11.22
59,Jul 2016,12.38
60,Jun 2016,12.49
61,May 2016,12.7
62,Apr 2016,7.65
63,Mar 2016,11.91
64,Feb 2016,6.56
65,Jan 2016,2.48
66,Dec 2015,0.96
67,Nov 2015,0.86
68,Oct 2015,0.95
69,Sep 2015,0.66
70,Aug 2015,1.25
