,Response,Share of respondents
0,Google,40.28%
1,Apple,23.14%
2,Facebook,14.96%
3,Microsoft,12.24%
4,Amazon,11.36%
5,eBay,8.5%
6,LinkedIn,6.09%
7,Yahoo!,5.9%
8,Goldman Sachs,5.66%
9,IBM,5.19%
10,Intel,4.94%
11,Cisco,4.44%
12,McKinsey & Company,4.2%
13,Twitter,4.18%
14,JPMorgan,3.49%
15,Deloitte,3.27%
16,Qualcomm,3.23%
17,Salesforce,2.99%
18,Morgan Stanley,2.81%
19,The Walt Disney Company,2.46%
20,Nike,2.16%
21,Accenture,2.16%
22,Palantir Technologies,2.14%
23,Bain & Co.,2.13%
24,Boeing,2.1%
25,Groupon,2.07%
26,Tesla Motors,1.92%
27,NBC Universal,1.92%
28,Samsung Electronics,1.84%
29,HP,1.8%
30,Boston Consulting Group,1.66%
31,Dell,1.59%
32,General Electric,1.55%
33,Netflix,1.43%
34,ESPN,1.32%
35,Price Waterhouse Coopers,1.32%
36,Dropbox,1.21%
37,Verizon,1.21%
38,Procter & Gamble,1.18%
39,Genetech,1.17%
40,Credit Suisse,1.14%
41,Schlumberger,1.12%
42,Lockhead Martin,1.11%
43,Texas Instruments,1.08%
44,Sony,1.05%
45,Ernst & Young,1.04%
46,Bank of America,1.03%
47,Citrix,1%
48,Space X,0.97%
49,Bank of America Merill Lynch,0.92%
