,Year,Food price index (2014-2016=100)
0,8/2020,96.1
1,7/2020,94.3
2,6/2020,93.1
3,5/2020,91.0
4,4/2020,92.4
5,3/2020,95.1
6,2/2020,99.4
7,1/2020,102.5
8,12/2019,101.0
9,11/2019,98.6
10,10/2019,95.2
11,9/2019,93.3
12,8/2019,94.0
13,7/2019,95.1
14,6/2019,95.3
15,5/2019,94.2
16,4/2019,93.6
17,3/2019,93.1
18,2/2019,94.0
19,1/2019,93.2
20,12/2018,92.2
21,11/2018,92.2
22,10/2018,93.3
23,9/2018,94.2
24,8/2018,95.9
25,7/2018,95.0
26,6/2018,96.9
27,5/2018,98.6
28,4/2018,98.5
29,3/2018,99.0
30,2/2018,97.8
31,1/2018,96.7
