,Month,Number of new cases
0,Dec 14,2194
1,Dec 13,4044
2,Dec 12,4413
3,Dec 11,5080
4,Dec 10,3134
5,Dec 9,4097
6,Dec 8,2905
7,Dec 7,2597
8,Dec 6,3834
9,Dec 5,6087
10,Dec 4,4935
11,Dec 3,3772
12,Dec 2,3384
13,Dec 1,2401
14,Nov 30,3262
15,Nov 29,4093
16,Nov 28,4868
17,Nov 27,5444
18,Nov 26,6383
19,Nov 25,5290
20,Nov 24,3919
21,Nov 23,4044
22,Nov 22,4788
23,Nov 21,6472
24,Nov 20,6489
25,Nov 19,6994
26,Nov 18,5891
27,Nov 17,4452
28,Nov 16,8371
29,Nov 15,6035
30,Nov 14,6602
31,Nov 13,6653
32,Nov 12,5839
33,Nov 11,4935
34,Nov 10,3817
35,Nov 9,4096
36,Nov 8,5784
37,Nov 7,6640
38,Nov 6,5550
39,Nov 5,4410
40,Nov 4,7497
41,Nov 3,2596
42,Nov 2,2506
43,Nov 1,3062
44,Oct 31,4007
45,Oct 30,4656
46,Oct 29,4224
47,Oct 28,3960
48,Oct 27,3299
49,Oct 26,2447
50,Oct 25,2577
51,Oct 24,3669
52,Oct 23,2899
53,Oct 22,3270
54,Oct 21,2535
55,Oct 20,1876
56,Oct 19,1949
57,Oct 18,1856
58,Oct 17,2153
59,Oct 16,2608
60,Oct 15,2101
61,Oct 14,2072
62,Oct 13,1208
63,Oct 12,1249
64,Oct 11,1090
65,Oct 10,1646
66,Oct 9,1394
67,Oct 8,1278
68,Oct 7,944
69,Oct 6,427
70,Oct 5,734
71,Oct 4,904
72,Oct 3,963
73,Oct 2,888
74,Oct 1,854
75,Sep 30,825
76,Sep 29,688
77,Sep 28,425
78,Sep 27,665
79,Sep 26,884
80,Sep 25,899
81,Sep 24,691
82,Sep 23,802
83,Sep 22,463
84,Sep 21,623
85,Sep 20,552
86,Sep 19,849
87,Sep 18,780
88,Sep 17,770
89,Sep 16,605
90,Sep 15,425
91,Sep 14,613
92,Sep 13,673
93,Sep 12,497
94,Sep 11,687
95,Sep 10,585
96,Sep 9,646
97,Sep 8,388
98,Sep 7,249
99,Sep 6,315
100,Sep 5,486
101,Sep 4,406
102,Sep 3,418
103,Sep 2,390
104,Sep 1,231
105,Aug 30,320
106,Aug 29,374
107,Aug 28,403
108,Aug 27,397
109,Aug 26,362
110,Aug 25,192
111,Aug 24,123
112,Aug 23,145
113,Aug 22,241
114,Aug 21,219
115,Aug 20,291
116,Aug 19,253
117,Aug 18,214
118,Aug 17,132
119,Aug 16,121
120,Aug 15,198
121,Aug 14,235
122,Aug 13,325
123,Aug 12,278
124,Aug 11,120
125,Aug 10,157
126,Aug 9,131
127,Aug 8,186
128,Aug 7,290
129,Aug 6,213
130,Aug 5,167
131,Aug 4,112
132,Aug 3,106
133,Aug 2,153
134,Aug 1,238
135,Jul 31,204
136,Jul 30,255
137,Jul 29,203
138,Jul 28,111
139,Jul 27,135
140,Jul 26,209
141,Jul 25,263
142,Jul 24,313
143,Jul 23,229
144,Jul 22,252
145,Jul 21,127
146,Jul 20,135
147,Jul 19,246
148,Jul 18,313
149,Jul 17,312
150,Jul 16,339
151,Jul 15,375
152,Jul 14,233
153,Jul 13,306
154,Jul 12,291
155,Jul 11,542
156,Jul 10,402
157,Jul 9,418
158,Jul 8,443
159,Jul 7,289
160,Jul 6,232
161,Jul 5,328
162,Jul 4,413
163,Jul 3,374
164,Jul 2,324
165,Jul 1,313
166,Jun 30,229
167,Jun 29,266
168,Jun 28,457
169,Jun 27,303
170,Jun 26,451
171,Jun 25,311
172,Jun 24,367
173,Jun 23,345
174,Jun 22,259
175,Jun 21,292
176,Jun 20,377
177,Jun 19,375
178,Jun 18,417
179,Jun 17,336
180,Jun 16,300
181,Jun 15,346
182,Jun 14,227
183,Jun 13,283
184,Jun 12,270
185,Jun 11,310
186,Jun 10,294
187,Jun 9,421
188,Jun 8,192
189,Jun 7,342
190,Jun 6,382
191,Jun 5,377
192,Jun 4,331
