,business,Turnover in million SEK
0,Outokumpu Stainless AB,14577
1,Clas Ohlson AB,8211
2,Stora Enso Skog AB,7798
3,Stora Enso AB,5579
4,Stora Enso Fors AB,3634
5,SkiStar AB,2536
6,MaserFrakt AB,2431
7,Dellner Couplers AB,1884
8,Bergvik Skog Väst AB,1864
9,Stora Enso Timber AB,1854
10,Curt Landrin Bil AB,1802
11,Dellner Bubenzer Group AB,1792
12,Bygg Partner i Dalarna Holding AB  (publ),1655
13,Arctic Paper Grycksbo AB,1624
14,Bergkvist-Insjön AB,1613
15,"Ejendal AB, Per-Olof",1454
16,NKT (Sweden) AB,1436
17,Borlänge Kommuns Förvaltnings AB,1417
18,Siljan Group AB,1350
19,HMB Holding AB,1259
