,Bachelor's degree,Mid-career pay in U.S. dollars
0,Petroleum Engineering,182000
1,Electrical Engineering & Computer Science (EECS),152300
2,Applied Economics and Management,139600
3,Operations Research,139600
4,Public Accounting,138800
5,Chemical Engineering/Materials Science & Engineering,137800
6,Quantative Business Analysis,136200
7,Pharmacy,133200
8,Aeronautics & Astronautics,133100
9,Systems Engineering,132900
10,Electrical Power Engineering,130700
11,Actuarial Mathematics,130500
12,Aerospace Studies,130300
13,Chemical Engineering,128900
14,Actuarial Science,128700
15,Information & Computer Science,127600
16,Aeronautical Engineering,125900
17,Operations & Information Systems Management,125100
18,Political Economy,125100
19,Marine Engineering,125000
