,Year,Gross domestic product in billion international dollars
0,2022*,1366.0
1,2021*,1293.97
2,2020*,1339.81
3,2019,1282.06
4,2018,1218.12
5,2017,1157.29
6,2016,1121.15
7,2015,1093.57
8,2014,1025.31
9,2013,983.22
10,2012,943.75
11,2011,891.67
12,2010,799.49
13,2009,806.45
14,2008,784.79
15,2007,715.26
16,2006,656.37
17,2005,604.03
18,2004,549.96
19,2003,518.05
20,2002,483.48
21,2001,479.83
22,2000,441.46
23,1999,407.73
24,1998,386.92
25,1997,358.66
26,1996,331.72
27,1995,331.72
28,1994,305.08
29,1993,277.86
30,1992,254.11
31,1991,229.39
32,1990,204.74
33,1989,187.0
34,1988,165.51
35,1987,147.99
36,1986,128.09
37,1985,112.6
38,1984,104.14
