,Artist / Band,Minimal booking fees in thousand U.S. dollars
0,Justin Timberlake,1000
1,Madonna,1000
2,Bon Jovi,1000
3,Taylor Swift,1000
4,Bruce Springsteen,1000
5,Justin Bieber,1000
6,Coldplay,750
7,Adele,750
8,Lady Gaga,750
9,John Mayer,500
10,Mumford & Sons,500
11,Imagine Dragons,400
12,Kanye West,400
13,Linkin Park,400
14,Toby Keith,350
15,Shakira,300
16,Drake,300
17,Luke Bryan,250
18,Blake Shelton,250
19,Juanes,200
20,Bruno Mars,200
21,One Direction,150
22,Pharrell Williams,125
23,Ed Sheeran,125
24,Lana Del Rey,75
