,Year,GDP per capita in U.S. dollars
0,2025*,8610.33
1,2024*,7891.84
2,2023*,7238.05
3,2022*,6338.52
4,2021*,4732.7
5,2020*,3282.04
6,2019*,6055.46
7,2018*,6361.58
8,2017,4685.07
9,2016,2907.46
10,2015,2723.37
11,2014,3876.41
12,2013,8282.15
13,2012,12693.64
14,2011,5402.25
15,2010,11417.42
16,2009,8524.77
17,2008,12570.87
18,2007,11711.14
19,2006,9659.64
20,2005,8467.72
21,2004,5988.39
22,2003,4831.42
23,2002,3833.57
24,2001,6485.16
25,2000,7388.14
26,1999,7067.88
27,1998,5980.04
28,1997,7424.95
29,1996,7372.45
30,1995,6882.21
31,1994,6192.59
32,1993,6780.86
33,1992,7703.53
34,1991,7776.95
35,1990,7193.54
36,1989,5881.53
37,1988,5795.81
38,1987,5815.61
39,1986,6524.78
40,1985,8319.67
