,State,Number of forcible rapes
0,California,15505
1,Texas,14693
2,Florida,8438
3,Michigan,7690
4,New York,6575
5,Illinois,5859
6,Ohio,5300
7,Pennsylvania,4483
8,Colorado,4070
9,Arizona,3638
10,Washington,3413
11,Virginia,2924
12,Missouri,2912
13,Tennessee,2821
14,Georgia,2651
15,North Carolina,2633
16,Minnesota,2462
17,South Carolina,2434
18,Massachusetts,2410
19,Indiana,2370
20,Nevada,2329
21,Oklahoma,2299
22,Wisconsin,2248
23,Arkansas,2196
24,Louisiana,2085
25,Alabama,1996
26,Maryland,1979
27,Oregon,1975
28,Utah,1753
29,Kentucky,1707
30,Kansas,1567
31,New Jersey,1424
32,New Mexico,1354
33,Nebraska,1233
34,Alaska,1192
35,Iowa,976
36,Connecticut,840
37,Idaho,791
38,West Virginia,652
39,Hawaii,625
40,South Dakota,614
41,Montana,551
42,Mississippi,537
43,New Hampshire,534
44,Rhode Island,481
45,District of Columbia,450
46,Maine,446
47,North Dakota,397
48,Delaware,338
49,Vermont,287
50,Wyoming,243
