,Android game apps,Penetration rate among Android mobile device users
0,Candy Crush Saga,22.22%
1,Subway Surfers,18.33%
2,Candy Crush Soda Saga,11.67%
3,Temple Run 2,11.11%
4,Pou,9.44%
5,Pet Rescue Saga,7.22%
6,Despicable Me,6.11%
7,Temple Run,6.11%
8,Farm Heroes Saga,5.56%
9,My Talking Tom,5%
10,Solitaire,5%
11,Bubble Shooter,4.44%
12,Fast Racing 3D,4.44%
13,Hill Climb Racing,3.89%
14,Angry Birds,3.33%
15,Angry Birds Star Wars,3.33%
16,Hay Day,3.33%
17,Hungry Shark Evolution,3.33%
18,Trivia Crack,3.33%
19,Angry Birds Rio,2.78%
