,Date,Year-over-year change in seated restaurant diners
0,2/24,-9%
1,2/25,-8%
2,2/26,-10%
3,2/27,-2%
4,2/28,-10%
5,2/29,-13%
6,3/1,10%
7,3/2,-6%
8,3/3,-7%
9,3/4,-1%
10,3/5,-15%
11,3/6,-13%
12,3/7,-5%
13,3/8,4%
14,3/9,-10%
15,3/10,-28%
16,3/11,-27%
17,3/12,-46%
18,3/13,-51%
19,3/14,-52%
20,3/15,-75%
21,3/16,-70%
22,3/17,-86%
23,3/18,-97%
24,3/19,-98.55%
25,3/20,-99.08%
26,3/21,-98.76%
27,3/22,-98.31%
28,3/23,-100%
29,3/24,-99.55%
30,3/25,-100%
31,3/26,-100%
32,3/27,-100%
33,3/28,-100%
34,3/29,-100%
35,3/30,-100%
36,3/31,-100%
37,4/1,-100%
38,4/2,-100%
39,4/3,-100%
40,4/4,-100%
41,4/5,-100%
42,4/6,-100%
43,4/7,-100%
44,4/8,-100%
45,4/9,-100%
46,4/10,-100%
47,4/11,-100%
48,4/12,-100%
49,4/13,-100%
50,4/14,-100%
51,4/15,-100%
52,4/16,-99.68%
53,4/17,-100%
54,4/18,-100%
55,4/19,-100%
56,4/20,-100%
57,4/21,-100%
58,4/22,-100%
59,4/23,-100%
60,4/24,-100%
61,4/25,-100%
62,4/26,-100%
63,4/27,-100%
64,4/28,-100%
65,4/29,-100%
66,4/30,-100%
67,5/1,-100%
68,5/2,-100%
69,5/3,-100%
70,5/4,-100%
71,5/5,-100%
72,5/6,-100%
73,5/7,-100%
74,5/8,-100%
75,5/9,-100%
76,5/10,-100%
77,5/11,-99.2%
78,5/12,-99.08%
79,5/13,-98.57%
80,5/14,-98.48%
81,5/15,-98.62%
82,5/16,-90.79%
83,5/17,-96.9%
84,5/18,-99.11%
85,5/19,-99.29%
86,5/20,-99.54%
87,5/21,-97.33%
88,5/22,-98.58%
89,5/23,-94.7%
90,5/24,-97.73%
91,5/25,-100%
92,5/26,-98.89%
93,5/27,-98.83%
94,5/28,-96.97%
95,5/29,-98.61%
96,5/30,-96.67%
97,5/31,-97.98%
98,6/1,-99.98%
99,6/2,-99.39%
100,6/3,-99.77%
101,6/4,-99.32%
102,6/5,-98.92%
103,6/6,-97.88%
104,6/7,-97.93%
105,6/8,-99.83%
106,6/9,-99.13%
107,6/10,-99.82%
108,6/11,-99.53%
109,6/12,-99.27%
110,6/13,-98.45%
111,6/14,-99.88%
112,6/15,-99.82%
113,6/16,-99.26%
114,6/17,-99.96%
115,6/18,-98.3%
116,6/19,-99.22%
117,6/20,-98.72%
118,6/21,-99.55%
119,6/22,-99.81%
120,6/23,-99.36%
121,6/24,-99.61%
122,6/25,-99.68%
123,6/26,-99.74%
124,6/27,-99.67%
125,6/28,-99.98%
126,6/29,-12.29%
127,6/30,-17.7%
128,7/1,-10.59%
129,7/2,-20.58%
130,7/3,-5.61%
131,7/4,-45.62%
132,7/5,7.6%
133,7/6,1.66%
134,7/7,-10.8%
135,7/8,-1.58%
136,7/9,4.1%
137,7/10,13.91%
138,7/11,17.49%
139,7/12,32.63%
140,7/13,6.98%
141,7/14,-3.63%
142,7/15,4.75%
143,7/16,18.57%
144,7/17,23.25%
145,7/18,21.01%
146,7/19,35.2%
147,7/20,12.96%
148,7/21,16.05%
149,7/22,15.16%
150,7/23,15.22%
151,7/24,29.26%
152,7/25,27.22%
153,7/26,47.77%
154,7/27,33.8%
155,7/28,19.37%
156,7/29,24.83%
157,7/30,37.9%
158,7/31,58.43%
159,8/1,60.12%
160,8/2,94.33%
161,8/3,79.41%
162,8/4,66.21%
163,8/5,43.44%
164,8/6,37.15%
165,8/7,46.28%
166,8/8,39.75%
167,8/9,49.29%
168,8/10,45.28%
169,8/11,15.75%
170,8/12,33.86%
171,8/13,27.46%
172,8/14,39.5%
173,8/15,42.97%
174,8/16,60.88%
175,8/17,38.2%
176,8/18,26.79%
177,8/19,24.78%
178,8/20,30.37%
179,8/21,34.82%
180,8/22,50.63%
181,8/23,65.97%
182,8/24,42.46%
183,8/25,32.26%
184,8/26,34.73%
185,8/27,22.79%
186,8/28,41.31%
187,8/29,52.75%
188,8/30,92.39%
189,8/31,40.01%
190,9/1,13.74%
191,9/2,20.71%
192,9/3,20.92%
193,9/4,42.52%
194,9/5,45.88%
195,9/6,70.41%
196,9/7,3.29%
197,9/8,29.16%
198,9/9,33.44%
199,9/10,22.18%
200,9/11,48.7%
201,9/12,76.69%
202,9/13,87.12%
203,9/14,36.85%
204,9/15,26.82%
205,9/16,21.92%
206,9/17,38.75%
207,9/18,52.4%
208,9/19,-16.93%
209,9/20,-6.91%
210,9/21,-33.25%
211,9/22,-53.12%
212,9/23,-38.67%
213,9/24,-40.7%
214,9/25,-21.88%
215,9/26,-19.22%
216,9/27,-13.51%
217,9/28,-25.75%
218,9/29,-43.42%
219,9/30,-51.67%
220,10/1,-25.72%
221,10/2,-36.33%
222,10/3,-26.46%
223,10/4,-36.79%
224,10/5,-40.22%
225,10/6,-50.63%
226,10/7,-73.33%
227,10/8,-70.3%
228,10/9,-56.43%
229,10/10,-42.53%
230,10/11,-35.2%
231,10/12,-67.45%
232,10/13,-68.5%
233,10/14,-59.51%
234,10/15,-56.33%
235,10/16,-46.9%
236,10/17,-38.86%
237,10/18,-45.43%
238,10/19,-53.73%
239,10/20,-46.47%
240,10/21,-36.55%
241,10/22,-95.48%
242,10/23,-94.92%
243,10/24,-94.44%
244,10/25,-94.94%
245,10/26,-97.66%
246,10/27,-97.89%
247,10/28,-99.34%
248,10/29,-96.93%
249,10/30,-96.83%
250,10/31,-95.55%
251,11/1,-98.39%
252,11/2,-99.56%
253,11/3,-99.88%
254,11/4,-99.76%
255,11/5,-99.85%
256,11/6,-97.79%
257,11/7,-97.99%
258,11/8,-98.41%
259,11/9,-99.62%
260,11/10,-99.78%
261,11/11,-99.91%
262,11/12,-99.51%
263,11/13,-99.26%
264,11/14,-98.89%
265,11/15,-99.86%
266,11/16,-99.31%
267,11/17,-99.68%
268,11/18,-99.68%
269,11/19,-98.23%
270,11/20,-99.23%
271,11/21,-98.95%
272,11/22,-99.15%
273,11/23,-99.35%
274,11/24,-98.89%
275,11/25,-99.7%
276,11/26,-99.96%
277,11/27,-98.95%
278,11/28,-99.68%
279,11/29,-99.81%
280,11/30,-98.97%
281,12/1,-95.35%
282,12/2,-92.55%
283,12/3,-86.32%
284,12/4,10.12%
285,12/5,35.58%
286,12/6,66.87%
287,12/7,48.95%
288,12/8,15.25%
289,12/9,8.05%
290,12/10,7%
291,12/11,20%
292,12/12,50.33%
293,12/13,63.69%
294,12/14,23.58%
295,12/15,5.61%
296,12/16,12.48%
297,12/17,10.33%
298,12/18,31.85%
299,12/19,58.63%
300,12/20,46.64%
