,Year,GDP per capita in U.S. dollars
0,2025*,6886.7
1,2024*,6595.53
2,2023*,6297.88
3,2022*,5986.02
4,2021*,5643.23
5,2020*,5220.81
6,2019,5826.09
7,2018,5730.91
8,2017,5406.56
9,2016,5170.7
10,2015,5193.26
11,2014,4953.22
12,2013,5104.9
13,2012,5332.49
14,2011,5232.3
15,2010,4812.26
16,2009,4435.27
17,2008,5054.56
18,2007,4756.27
19,2006,4430.51
20,2005,4187.91
21,2004,3816.91
22,2003,3562.46
23,2002,3700.05
24,2001,3529.71
25,2000,3510.58
26,1999,3473.44
27,1998,3467.54
28,1997,3347.37
29,1996,2975.13
30,1995,2657.67
31,1994,2266.08
32,1993,2280.66
33,1992,1804.41
34,1991,1799.77
35,1990,1971.7
36,1989,1588.56
37,1988,1372.73
38,1987,1158.6
39,1986,1034.77
40,1985,878.36
