,Country,True,Don't know,False
0,Argentina,10%,28%,62%
1,Australia,14%,27%,59%
2,Belgium,9%,51%,40%
3,Brazil,10%,35%,54%
4,Canada,16%,32%,52%
5,Chile,16%,31%,53%
6,China,19%,50%,31%
7,Colombia,14%,44%,42%
8,Denmark,22%,36%,42%
9,France,17%,48%,35%
10,Germany,12%,36%,52%
11,Great Britain,20%,35%,45%
12,Hong Kong,22%,50%,28%
13,Hungary,10%,42%,48%
14,India,44%,36%,20%
15,Indonesia,23%,32%,45%
16,Israel,29%,35%,36%
17,Italy,14%,38%,48%
18,Japan,12%,63%,25%
19,Malaysia,30%,35%,34%
20,Mexico,14%,28%,58%
21,Montenegro,44%,30%,26%
22,Netherlands,11%,40%,49%
23,New Zealand,16%,31%,53%
24,Norway,18%,23%,59%
25,Peru,17%,39%,45%
26,Philippines,28%,33%,39%
27,Poland,17%,38%,45%
28,Russia,14%,47%,39%
29,Saudi Arabia,24%,51%,25%
30,Serbia,27%,40%,34%
31,Singapore,20%,48%,32%
32,South Africa,30%,35%,34%
33,South Korea,19%,52%,30%
34,Spain,8%,39%,53%
35,Sweden,25%,24%,52%
36,Turkey,31%,47%,22%
37,USA,19%,29%,52%
