,Month,Cumulative number of cases
0,Dec 20,625930
1,Dec 19,623760
2,Dec 18,621039
3,Dec 17,618204
4,Dec 16,615058
5,Dec 15,611422
6,Dec 14,609211
7,Dec 13,608137
8,Dec 12,605966
9,Dec 11,603159
10,Dec 10,600397
11,Dec 9,597643
12,Dec 8,594572
13,Dec 7,592615
14,Dec 6,591756
15,Dec 5,589842
16,Dec 4,587439
17,Dec 3,584857
18,Dec 2,582252
19,Dec 1,579212
20,Nov 30,577345
21,Nov 29,576599
22,Nov 28,574448
23,Nov 27,570829
24,Nov 26,567532
25,Nov 25,564532
26,Nov 24,561803
27,Nov 23,559902
28,Nov 22,558779
29,Nov 21,556904
30,Nov 20,553680
31,Nov 19,550264
32,Nov 18,545926
33,Nov 17,545691
34,Nov 16,545686
35,Nov 15,535939
36,Nov 14,535841
37,Nov 13,534694
38,Nov 12,529471
39,Nov 11,523227
40,Nov 10,521285
41,Nov 9,513730
42,Nov 8,505201
43,Nov 7,503754
44,Nov 6,500470
45,Nov 5,493319
46,Nov 4,485908
47,Nov 3,476851
48,Nov 2,464958
49,Nov 1,451227
50,Oct 31,448565
51,Oct 30,441588
52,Oct 29,426427
53,Oct 28,411541
54,Oct 27,393719
55,Oct 26,371558
56,Oct 25,351725
57,Oct 24,346832
58,Oct 23,335279
59,Oct 22,316408
60,Oct 21,298729
61,Oct 20,279196
62,Oct 19,260622
63,Oct 18,245590
64,Oct 17,241314
65,Oct 16,233580
66,Oct 15,220460
67,Oct 14,208794
68,Oct 13,196555
69,Oct 12,184002
70,Oct 11,174284
71,Oct 10,171876
72,Oct 9,167570
73,Oct 8,159787
74,Oct 7,153202
75,Oct 6,146405
76,Oct 5,140718
77,Oct 4,135466
78,Oct 3,134431
79,Oct 2,132722
80,Oct 1,129001
81,Sep 30,125594
82,Sep 29,122353
83,Sep 28,119369
84,Sep 27,116588
85,Sep 26,116049
86,Sep 25,115105
87,Sep 24,113483
88,Sep 23,111688
89,Sep 22,109599
90,Sep 21,107528
91,Sep 20,105341
92,Sep 19,104882
93,Sep 18,103987
94,Sep 17,102257
95,Sep 16,100507
96,Sep 15,98566
97,Sep 14,97455
98,Sep 13,96937
99,Sep 12,95214
100,Sep 11,94912
101,Sep 10,94295
102,Sep 9,93011
103,Sep 8,91868
104,Sep 7,90844
105,Sep 6,89013
106,Sep 5,88858
107,Sep 4,88537
108,Sep 3,87824
109,Sep 2,87166
110,Sep 1,86594
111,Aug 31,86025
112,Aug 30,85392
113,Aug 29,85275
114,Aug 28,85083
115,Aug 27,84470
116,Aug 26,83935
117,Aug 25,83411
118,Aug 24,82884
119,Aug 23,82367
120,Aug 22,82252
121,Aug 21,82058
122,Aug 20,81549
123,Aug 19,80970
124,Aug 18,80355
125,Aug 17,79628
126,Aug 16,78921
127,Aug 15,78787
128,Aug 14,78624
129,Aug 13,78037
130,Aug 12,77368
131,Aug 11,76757
132,Aug 10,76040
133,Aug 9,75167
134,Aug 8,75046
135,Aug 7,74743
136,Aug 6,73969
137,Aug 5,73201
138,Aug 4,72436
139,Aug 3,71624
140,Aug 2,70830
141,Aug 1,70682
142,Jul 31,70375
143,Jul 30,69691
144,Jul 29,69056
145,Jul 28,68353
146,Jul 27,67668
147,Jul 26,67073
148,Jul 25,66889
149,Jul 24,66660
150,Jul 23,66221
151,Jul 22,65668
152,Jul 21,65523
153,Jul 20,65080
154,Jul 19,65015
155,Jul 18,64898
156,Jul 17,64886
157,Jul 16,64612
158,Jul 15,64386
159,Jul 14,64124
160,Jul 13,63094
161,Jul 12,62871
162,Jul 11,62828
163,Jul 10,62690
164,Jul 9,62604
165,Jul 8,62497
166,Jul 7,62362
167,Jul 6,62264
168,Jul 5,62151
169,Jul 4,62127
170,Jul 3,62066
171,Jul 2,61972
172,Jul 1,61881
173,Jun 30,61757
174,Jun 29,61657
175,Jun 28,61530
176,Jun 27,61502
177,Jun 26,61462
178,Jun 25,61350
179,Jun 24,61275
180,Jun 23,61175
181,Jun 22,61066
182,Jun 21,60922
183,Jun 20,60778
184,Jun 19,60730
185,Jun 18,60615
186,Jun 17,60509
187,Jun 16,60387
188,Jun 15,60290
189,Jun 14,60142
190,Jun 13,60120
191,Jun 12,60073
192,Jun 11,59985
193,Jun 10,59891
194,Jun 9,59775
195,Jun 8,59631
196,Jun 7,59481
197,Jun 6,59428
198,Jun 5,59359
199,Jun 4,59204
200,Jun 3,59036
201,Jun 2,58876
202,Jun 1,58698
203,May 31,58640
204,May 30,58592
205,May 29,58532
206,May 28,58373
207,May 27,58214
208,May 26,58033
209,May 25,57835
210,May 24,57531
211,May 23,57456
212,May 22,57334
213,May 21,57088
214,May 20,57017
215,May 19,56636
216,May 18,56352
217,May 17,56045
218,May 16,55964
219,May 15,55818
220,May 14,55478
221,May 13,55184
222,May 12,54866
223,May 11,54471
224,May 10,54009
225,May 9,53891
226,May 8,53651
227,May 7,53172
228,May 6,52746
229,May 5,52195
230,May 4,51659
231,May 3,50990
232,May 2,50849
233,May 1,50565
234,Apr 30,50328
235,Apr 29,49741
236,Apr 28,49227
237,Apr 27,48659
238,Apr 26,47911
239,Apr 25,47706
240,Apr 24,47319
241,Apr 23,46516
242,Apr 22,45548
243,Apr 21,44773
244,Apr 20,43510
245,Apr 19,42238
246,Apr 18,41795
247,Apr 17,41078
248,Apr 16,39696
249,Apr 15,38032
250,Apr 14,36412
251,Apr 13,34850
252,Apr 12,34318
253,Apr 11,33801
254,Apr 10,32778
255,Apr 9,30459
256,Apr 8,28235
257,Apr 7,26648
258,Apr 6,25148
259,Apr 5,23226
260,Apr 4,22561
261,Apr 3,21636
262,Apr 2,19945
263,Apr 1,18485
264,Mar 31,16982
265,Mar 30,15301
266,Mar 29,13563
267,Mar 28,12880
268,Mar 27,12036
269,Mar 26,10517
270,Mar 25,9154
271,Mar 24,7955
272,Mar 23,6760
273,Mar 22,5431
274,Mar 21,4945
275,Mar 20,4475
276,Mar 19,3812
277,Mar 18,3099
278,Mar 17,2565
279,Mar 16,2143
280,Mar 15,1756
281,Mar 14,1542
282,Mar 13,1363
283,Mar 12,1025
284,Mar 11,775
285,Mar 10,601
286,Mar 9,502
287,Mar 8,408
288,Mar 7,344
289,Mar 6,317
290,Mar 5,206
291,Mar 4,125
292,Mar 3,70
293,Mar 2,34
294,Mar 1,17
295,Feb 2,1
