,U.S. presidential candidate,Net worth in million U.S. dollars
0,Michael Bloomberg (2020),61800
1,"Donald Trump (2016, 2020)*",4500
2,"Ross Perot (1992, 1996)",3580
3,Tom Steyer (2020),1600
4,"Steve Forbes (1996, 2000)",450
5,Mitt Romney (2012),250
6,John Kerry (2004),240
7,John Delaney (2020),200
8,Al Gore (2000),100
9,"Hillary Clinton (2008, 2016)**",85
10,Bill Clinton (42nd president),85
11,Jon Huntsman (2012),70
12,Rudy Giuliani (2008),65
13,Carly Fiorina (2016),58
14,"John Edwards (2004, 2008)",45
