,Influencers,Number of subscribers
0,SQUEEZIE,13.8
1,Cyprien,13.4
2,NORMAN FAIT DES VIDÉOS,11.7
3,Rémi GAILLARD,6.93
4,Tibo InShape,6.56
5,CyprienGaming,6.48
6,Amixem,5.92
7,Mister V,5.31
8,Mcfly & Carlito,5.16
9,Le Rire Jaune,5.03
10,Natoo,4.94
11,Swan The Voice - Néo & Swan,4.39
12,IbraTV,4.33
13,SUP3R KONAR !,4.32
14,HugoPOSAY,4.28
15,Le Bled'Art,4.25
16,SEB,4.24
17,Monde des Titounis,3.85
18,ANDY,3.66
19,Le Woop,3.63
20,EnjoyPhoenix,3.61
21,Golden Moustache,3.58
22,GOTAGA,3.51
23,FastGoodCuisine,3.48
24,LaChaineDeJeremy,3.45
25,Dr Nozman,3.39
26,joueurdugrenier,3.35
27,Studio Bagel,3.34
28,VodKprod,3.22
29,Lolywood,3.16
