,Year,GDP per capita in U.S. dollars
0,2025*,76475.0
1,2024*,73974.36
2,2023*,71537.73
3,2022*,69004.24
4,2021*,66144.14
5,2020*,63051.4
6,2019,65253.52
7,2018,63055.98
8,2017,60105.85
9,2016,58017.23
10,2015,56848.51
11,2014,55010.07
12,2013,53061.24
13,2012,51556.17
14,2011,49825.5
15,2010,48402.58
16,2009,47007.67
17,2008,48283.41
18,2007,47869.24
19,2006,46213.51
20,2005,44025.56
21,2004,41629.86
22,2003,39411.55
23,2002,37971.28
24,2001,37101.1
25,2000,36317.74
26,1999,34494.54
27,1998,32833.67
28,1997,31440.09
29,1996,29946.97
30,1995,28671.48
31,1994,27674.02
32,1993,26364.19
33,1992,25392.93
34,1991,24302.78
35,1990,23847.98
36,1989,22814.08
37,1988,21376.0
38,1987,20000.97
39,1986,19034.77
40,1985,18199.32
