,Month,Sales in thousand Canadian dollars
0,Aug '20,144.46
1,Jul '20,100.51
2,Jun '20,66.54
3,May '20,28.58
4,Apr '20,19.09
5,Mar '20,90.52
6,Feb '20,205.8
7,Jan '20,202.48
8,Dec '19,208.26
9,Nov '19,205.45
10,Oct '19,206.02
11,Sep '19,204.66
12,Aug '19,213.6
13,Jul '19,224.55
14,Jun '19,218.97
15,May '19,209.62
16,Apr '19,212.45
17,Mar '19,218.85
18,Feb '19,175.06
19,Jan '19,214.06
20,Dec '18,216.66
21,Nov '18,213.02
22,Oct '18,209.24
23,Sep '18,204.15
24,Aug '18,205.85
25,Jul '18,209.85
26,Jun '18,209.25
27,May '18,211.16
28,Apr '18,209.91
29,Mar '18,205.09
30,Feb '18,20.19
31,Jan '18,19.77
