,Year,Defense spending as share of GDP
0,2018,2.1%
1,2017,2.1%
2,2016,2.1%
3,2015,2.1%
4,2014,2.2%
5,2013,2.3%
6,2012,2.2%
7,2011,2.4%
8,2010,2.5%
9,2009,2.5%
10,2008,2.4%
11,2007,2.3%
12,2006,2.3%
13,2005,2.4%
14,2004,2.2%
15,2003,2.3%
16,2002,2.4%
17,2001,2.5%
18,2000,2.5%
19,1999,2.5%
20,1998,2.6%
21,1997,2.7%
22,1996,3%
23,1995,3.1%
24,1994,3.4%
25,1993,3.6%
26,1992,3.8%
27,1991,4.3%
28,1990,4.1%
29,1989,4.1%
30,1988,4.2%
31,1987,4.6%
32,1986,4.9%
33,1985,5.2%
34,1984,5.5%
35,1983,5.3%
36,1982,5.4%
37,1981,4.8%
38,1980,5%
