,Month,Total number of cases
0,Jan 3,17642
1,Dec 6,15591
2,Nov 30,15139
3,Nov 22,14493
4,Nov 19,14134
5,Nov 15,13451
6,Nov 10,12816
7,Nov 5,12102
8,Nov 1,11035
9,Oct 29,10269
10,Oct 25,9381
11,Oct 20,8049
12,Oct 17,7462
13,Oct 14,6846
14,Oct 11,6366
15,Oct 5,5402
16,Oct 1,5114
17,Sep 28,4797
18,Sep 24,4475
19,Sep 20,3991
20,Sep 17,3789
21,Sep15,3569
22,Sep 13,3388
23,Sep 9,3092
24,Sep 6,2965
25,Sep 3,2805
26,Sep 1,2729
27,Aug 30,2624
28,Aug 28,2415
29,Aug 25,2283
30,Aug 23,2171
31,Aug 21,2044
32,Aug 17,1935
33,Aug 14,1815
34,Aug 10,1679
35,Aug 6,1483
36,Aug 2,1199
37,Jul 30,1109
38,Jul 25,916
39,Jul 20,749
40,Jul 15,576
41,Jul 10,458
42,Jul 09,396
43,Jul 04,346
44,Jun 29,276
45,Jun 24,197
46,Jun 19,172
47,Jun 14,140
48,Jun 09,96
49,Jun 04,86
50,May 30,84
51,May 25,70
52,May 20,52
53,May 15,48
54,May 10,43
55,May 05,36
56,Apr 30,27
57,Apr 25,25
58,Apr 20,24
59,Apr 15,19
60,Apr 10,19
61,Apr 05,14
62,Mar 31,7
63,Mar 26,4
64,Mar 21,2
65,Mar 16,0
66,Mar 11,0
67,Mar 06,0
68,Mar 01,0
69,Feb 25,0
70,Feb 20,0
71,Feb 15,0
