,Year,Export volume in billion U.S. dollars
0,2019,34.77
1,2018,31.43
2,2017,29.92
3,2016,32.1
4,2015,34.17
5,2014,34.74
6,2013,31.84
7,2012,29.44
8,2011,29.99
9,2010,25.46
10,2009,21.61
11,2008,28.9
12,2007,25.26
13,2006,21.34
14,2005,18.69
15,2004,16.87
16,2003,15.24
17,2002,13.33
18,2001,13.5
19,2000,13.93
20,1999,12.38
21,1998,13.92
22,1997,13.42
23,1996,12.53
24,1995,12.47
25,1994,10.94
26,1993,8.88
27,1992,9.77
28,1991,10.57
29,1990,10.32
30,1989,8.38
31,1988,7.29
32,1987,6.19
33,1986,5.4
34,1985,4.92
