,financial product,Expenditure in Canadian dollars
0,Shelter,18637
1,Income taxes,14993
2,Transportation,12707
3,Food expenditures,8527
4,Personal insurance payments and pension contributions,5137
5,Household operations,4827
6,Recreation,3986
7,Clothing and accessories,3430
8,Health care,2579
9,Household furnishings and equipment,2314
10,"Gifts of money, support payments and charitable contributions",2218
11,Miscellaneous expenditures,1785
12,Education,1777
13,Tobacco products and alcoholic beverages,1497
14,Personal care,1300
15,Games of chance,200
16,Reading materials and other printed matter,158
