,Month,Net worth in billion U.S. dollars
0,"Jeff Bezos, Amazon",131.0
1,"Mark Zuckerberg, Facebook",62.3
2,"Larry Page, Google",50.8
3,"Sergey Brin, Google",49.8
4,"Ma Huateng, Tencent",38.8
5,"Jack Ma, Alibaba",37.3
6,"William Ding, Netease",14.7
7,"Colin Huang, Pinduoduo",13.5
8,"Zhang Zhidong, Tencent",13.3
9,"Eric Schmidt, Google",12.9
10,"Pierre Omidyar, eBay",11.4
11,"Dustin Moskovitz, Facebook",11.1
12,"Eduardo Saverin, Facebook",9.7
13,"Jan Koum, WhatsApp",9.6
14,"Robin Li, Baidu",9.6
15,"Joseph Tsai, Alibaba",9.5
16,"Kim Jung-Ju, Nexon",6.5
17,"Richard Liu, JD.com",6.0
18,"Andreas von Bechtolsheim, Google",6.4
19,"David Cheriton, Google",5.8
