,Response,Share of respondents
0,Sexual violence,39%
1,Physical violence,34%
2,Sexual harassment,28%
3,Domestic abuse,19%
4,Equal pay,17%
5,Sexualization of women and girls in the media,13%
6,Access to employment,10%
7,Lack of financial/economic independence,8%
8,Lack of women in leadership roles in business and public life,8%
9,"The amount of unpaid work that women do (e.g. cooking, cleaning, childcare)",7%
10,Gender stereotyping,7%
11,Abuse on Social Media,7%
12,Workplace discrimination,6%
13,Balancing work and caring responsibilities,5%
14,Support for pregnant women and new mothers,2%
