,business,Turnover in million SEK
0,"Volvo, AB",390835
1,Volvo Car AB,252653
2,H&M Hennes & Mauritz AB,232755
3,"Ericsson, Telefon AB LM",227216
4,Skanska AB,172846
5,Vattenfall AB,166360
6,Scania CV AB,137126
7,Scania AB,137126
8,Essity AB,128975
9,Electrolux AB,124129
10,ICA Gruppen AB,119295
11,Securitas AB,110899
12,Atlas Copco AB,103756
13,Corral Petroleum Holdings AB,103641
14,Sandvik AB,100072
15,Nordea Bank AB,93270
16,Axel Johnson Holding AB,88213
17,Axel Johnson Holding,88213
18,SKF AB,86013
19,Telia Company AB,85966
