,Year,"Twin births per 1,000 live births"
0,2018,32.6
1,2017,33.3
2,2016,33.4
3,2015,33.5
4,2014,33.9
5,2013,33.7
6,2012,33.1
7,2011,33.2
8,2010,33.1
9,2009,33.2
10,2008,32.6
11,2007,32.2
12,2006,32.1
13,2005,32.2
14,2004,32.2
15,2003,31.5
16,2002,31.1
17,2001,30.1
18,2000,29.3
19,1999,28.9
20,1998,28.1
21,1997,26.8
22,1996,25.9
23,1995,24.8
24,1994,24.6
25,1993,24.1
26,1992,23.5
27,1991,23.1
28,1990,22.6
29,1989,22.3
30,1988,21.8
31,1987,21.5
32,1986,21.2
33,1985,20.5
34,1984,19.9
35,1983,19.9
36,1982,19.5
37,1981,19.3
38,1980,18.9
