,Individuals or corporations who gave 1 million U.S. dollars or more,Donation in million U.S. dollars
0,Sheldon and Miriam Adelson (Winning Our Future),20.0
1,Harold Simmons (American Crossroads),10.0
2,Sheldon and Miriam Adelson (Congressional Leadership Fund),5.0
3,Bob Perry (Restore Our Future),4.0
4,National Education Association (N.E.A. Advocacy Fund),3.5
5,Peter Thiel (Endorse Liberty),2.6
6,Bob J. Perry (American Crossroads),2.5
7,William J. Dore (Red White and Blue Fund),2.3
8,Jon M. Huntsman Sr. (Our Destiny),2.2
9,"American Federation of State, County, and Municipal Employees (Workers' Voice)",2.2
10,Foster S. Friess (Red White and Blue Fund),2.1
11,Jeffrey Katzenberg (Priorities USA Action),2.0
12,Jerry Perenchio Living Trust (American Crossroads),2.0
13,Contran Corporation (American Crossroads),2.0
14,Bill and Richard Marriot (Restore Our Future),2.0
15,Freedomworks (Freedomworks for America),1.6
16,James H. Simons (Majority PAC),1.5
17,Julian Robertson (Restore Our Future),1.3
18,Annette Simmons (Red White and Blue Fund),1.2
19,Harold Simmons (Winning Our Future),1.1
20,Kenneth C. Griffin (Restore Our Future),1.1
21,Paul Singer (Restore Our Future),1.0
22,Eli Publishing Inc. (Restore Our Future),1.0
23,Robert Mercer (Restore Our Future),1.0
24,Edward Conard (Restore Our Future),1.0
25,John Paulson (Restore Our Future),1.0
26,Melaleuca (Restore Our Future),1.0
27,Rooney Holdings Inc. (Restore Our Future),1.0
28,F8 LLC (Restore Our Future),1.0
29,James S. Davis (Restore Our Future),1.0
30,Steven Webster (Restore Our Future),1.0
31,Robert B. Bowling (American Crossroads),1.0
32,"Whiteco Industries, Inc. (American Crossroads)",1.0
33,Philip H. Geier (American Crossroads),1.0
34,Irving Moskovitz (American Crossroads),1.0
35,TRT Holdings Inc. (American Crossroads),1.0
36,Kenneth C. Griffin (American Crossroads),1.0
37,Contran Corporation (Make Us Great Again),1.0
38,Service Employees International Union (Priorities USA Action),1.0
39,Bill Maher (Priorities USA Action),1.0
40,Kareem Ahmed (Priorities USA Action),1.0
41,Virginia James (Club for Growth Action),1.0
42,American Federation of Teachers (Workers' Voice),1.0
43,UNITE HERE TIP (Workers' Voice),1.0
