,Year,GDP per capita in U.S. dollars
0,2025*,5873.15
1,2024*,5463.73
2,2023*,5083.76
3,2022*,4748.79
4,2021*,4426.55
5,2020*,4314.73
6,2019*,4604.77
7,2018*,4195.96
8,2017*,3868.91
9,2016*,3524.0
10,2015,3529.03
11,2014,3889.0
12,2013,3732.04
13,2012,3575.53
14,2011,3417.17
15,2010,3121.78
16,2009,2911.76
17,2008,3913.44
18,2007,3079.03
19,2006,2128.15
20,2005,1628.06
21,2004,1180.4
22,2003,923.39
23,2002,779.12
24,2001,692.29
25,2000,620.64
26,1999,597.24
27,1998,608.42
28,1997,521.87
29,1996,503.77
30,1995,399.58
