,Internet billionaire,Net worth in billion U.S. dollars
0,"Jeff Bezos, Amazon",113.0
1,"Mark Zuckerberg, Facebook",54.7
2,"Larry Page, Google",50.9
3,"Sergey Brin, Google",49.1
4,"Jack Ma, Alibaba",38.8
5,"Ma Huateng, Tencent",38.1
6,"MacKenzie Bezos, Amazon",36.0
7,"William Lei Ding, Netease",17.0
8,"Colin Zheng Huang, Pinduoduo",16.5
9,"Eric Schmidt, Google",13.2
10,"Zhang Zhidong, Tencent",13.0
11,"Pierre Omidyar, eBay",11.0
12,"Joseph Tsai, Alibaba",10.0
13,"Jan Koum, WhatsApp",9.7
14,"Dustin Moskovitz, Facebook",9.3
15,"Eduardo Saverin, Facebook",8.4
16,"Richard Qiangdong Liu, JD.com",8.2
17,"Wang Xing, Meituan Dianping",6.4
18,"Kim Jung-Ju, Nexon",6.3
19,"Andreas von Bechtolsheim, Google",5.7
