,Year,Inflation rate compared to previous year
0,2024*,3.99%
1,2023*,4.16%
2,2022*,4.62%
3,2021*,5.22%
4,2020*,5.44%
5,2019*,6.63%
6,2018*,7.31%
7,2017*,5.31%
8,2016,3.63%
9,2015,4.44%
10,2014,4.63%
11,2013,5.81%
12,2012,5.14%
13,2011,3.55%
14,2010,5.81%
15,2009,3.54%
16,2008,4.92%
17,2007,3.42%
18,2006,4.14%
19,2005,1.96%
20,2004,3.69%
21,2003,2.72%
22,2002,2.71%
23,2001,1.95%
24,2000,2.77%
25,1999,2.77%
26,1998,3.1%
27,1997,3.6%
28,1996,3.73%
29,1995,6.23%
30,1994,5.42%
31,1993,4.04%
32,1992,5.52%
33,1991,7.69%
34,1990,6.5%
35,1989,7.72%
36,1988,7.16%
37,1987,8.22%
38,1986,6.16%
39,1985,7.55%
40,1984,8.6%
