,Month,Units sold
0,Dec 19,373
1,Nov 19,531
2,Oct 19,411
3,Sep 19,779
4,Aug 19,411
5,Jul 19,451
6,Jun 19,582
7,May 19,737
8,Apr 19,371
9,Mar 19,986
10,Feb 19,189
11,Jan 19,372
12,Dec 18,372
13,Nov 18,467
14,Oct 18,376
15,Sep 18,867
16,Aug 18,232
17,Jul 18,299
18,Jun 18,644
19,May 18,652
20,Apr 18,477
21,Mar 18,1322
22,Feb 18,171
23,Jan 18,235
24,Dec 17,261
25,Nov 17,347
26,Oct 17,280
27,Sep 17,1059
28,Aug 17,207
29,Jul 17,434
30,Jun 17,363
31,May 17,303
32,Apr 17,364
33,Mar 17,1807
34,Feb 17,227
35,Jan 17,728
36,Dec 16,813
37,Nov 16,735
38,Oct 16,780
39,Sep 16,2492
40,Aug 16,488
41,Jul 16,1182
