,Country,2017,2018
0,Spain,47.0,48.3
1,Croatia,33.3,40.2
2,Portugal,34.1,33.4
3,Belgium,30.5,29.9
4,France,29.7,28.8
5,Czechia,25.4,26.6
6,Estonia,13.8,25.4
7,Italy,28.9,24.7
8,Austria,24.5,24.5
9,United Kingdom,22.5,24.3
10,Slovenia,20.5,21.9
11,Finland,21.5,21.3
12,Norway,21.9,19.6
13,Sweden,19.4,19.1
14,Switzerland,17.1,18.6
15,Hungary,16.4,17.3
16,Denmark,18.1,17.2
17,Ireland,20.6,16.9
18,Netherlands,15.2,16.4
19,Lithuania,13.8,15.9
20,Slovakia,15.9,14.4
21,Poland,14.7,13.1
22,Latvia,12.6,12.6
23,Luxembourg,15.0,11.7
24,Germany,9.7,11.6
25,Greece,6.0,4.1
26,Romania,3.3,3.3
27,Bulgaria,6.1,2.3
28,Cyprus,8.3,1.7
