,Month,USD CLP exchange rate
0,Nov-20,768.2
1,Oct-20,771.5
2,Sep-20,784.1
3,Aug-20,779.0
4,Jul-20,761.0
5,Jun-20,821.0
6,May-20,808.1
7,Apr-20,834.1
8,Mar-20,859.2
9,Feb-20,814.0
10,Jan-20,796.8
11,Dec-19,732.2
12,Nov-19,828.4
13,Oct-19,741.77
14,Sep-19,725.99
15,Aug-19,720.84
16,Jul-19,699.0
17,Jun-19,680.17
18,May-19,709.64
19,Apr-19,678.14
20,Mar-19,682.1
21,Feb-19,648.7
22,Jan-19,663.4
23,Dec-18,693.5
24,Nov-18,670.0
25,Oct-18,693.0
26,Sep-18,659.4
27,Aug-18,679.0
28,Jul-18,638.1
29,Jun-18,649.0
30,May-18,627.2
31,Apr-18,605.7
32,Mar-18,603.4
33,Feb-18,591.5
34,Jan-18,606.4
35,Dec-17,614.4
36,Nov-17,643.8
37,Oct-17,621.02
38,Sep-17,635.4
39,Aug-17,631.4
40,Jul-17,653.2
41,Jun-17,664.7
42,May-17,674.4
43,Apr-17,662.5
44,Mar-17,662.6
45,Feb-17,646.35
