,province of Argentina,Number of households in thousands
0,Buenos Aires Province,4789.48
1,Buenos Aires City,1150.13
2,Córdoba,1031.84
3,Santa Fe,1023.78
4,Mendoza,494.84
5,Entre Ríos,375.12
6,Tucumán,368.54
7,Misiones,302.95
8,Salta,299.79
9,Chaco,288.42
10,Corrientes,267.8
11,Santiago del Estero,218.03
12,Río Negro,199.19
13,San Juan,177.16
14,Jujuy,174.63
15,Neuquén,170.06
16,Chubut,157.17
17,Formosa,140.3
18,San Luis,126.92
19,La Pampa,107.67
20,Catamarca,96.0
21,La Rioja,91.1
22,Santa Cruz,81.8
23,"Tierra del Fuego, Antarctica and South Atlantic Islands",38.96
