,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",114.87
1,Manufacturing,105.66
2,Professional and business services,75.91
3,Government and government enterprises,63.04
4,"Educational services, health care, and social assistance",59.73
5,Retail trade,37.95
6,Wholesale trade,37.91
7,"Arts, entertainment, recreation, accommodation, and food services",20.48
8,Construction,19.88
9,Information,19.87
10,"Mining, quarrying, and oil and gas extraction",19.86
11,Transportation and warehousing,19.08
12,Utilities,9.42
13,"Agriculture, forestry, fishing, and hunting",4.46
