,Month,Mobile phone users per 100 inhabitants
0,Mar'20,116.1
1,Feb'20,116.4
2,Jan '20,116.4
3,Dec '19,116.3
4,Nov '19,115.5
5,Oct '19,115.3
6,Sep '19,115.1
7,Aug '19,115.0
8,Jul '19,114.9
9,Jun '19,114.5
10,May '19,114.4
11,Apr '19,114.0
12,Mar '19,113.7
13,Feb '19,113.7
14,Jan '19,113.8
15,Dec '18,114.4
16,Nov '18,114.5
17,Oct '18,114.4
18,Sep '18,114.2
19,Aug '18,113.9
20,Jul '18,113.3
21,Jun '18,112.7
22,Apr '18,112.5
23,Mar '18,112.3
24,Feb '18,112.0
25,Jan '18,111.7
26,Dec '17,111.8
27,Nov '17,111.6
28,Oct '17,111.6
29,Sep '17,111.5
30,Aug '17,111.2
31,Jul '17,111.0
32,Jun '17,110.7
33,May '17,110.2
34,Apr '17,109.9
35,Mar '17,109.9
36,Feb '17,109.9
37,Jan '17,110.2
38,Dec '16,110.1
39,Nov '16,110.3
40,Oct '16,110.6
41,Sep '16,110.4
42,Aug '16,110.2
43,Jul '16,110.1
44,Jun '16,109.6
45,May '16,109.4
46,Apr '16,109.2
47,Mar '16,109.1
48,Feb '16,109.0
49,Jan '16,109.2
50,Sep '15,109.2
51,Ago '15,109.1
52,Jul '15,108.9
53,Jun '15,108.5
54,Mai '15,108.4
55,Apr '15,108.4
56,Mar '15,108.3
57,Febr '15,108.6
58,Jan '15,108.8
